species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,eventDate,recordNumber,recordedBy,identifiedBy,catalogNumber,occurrenceID,locality
Vellozia abietina,-43.55,-18.55,BRA,NA,1928867737,Velloziaceae,SPECIES,10000,1968,PRESERVED_SPECIMEN,NY,1968-02-23,20672,H. S. Irwin,L. B. Smith,898619,4dc4186a-2dbd-472a-bbcf-dfa928198dc7,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina."
Vellozia abietina,-43.7,-18.27,BRA,NA,1931300244,Velloziaceae,SPECIES,10000,1969,PRESERVED_SPECIMEN,NY,1969-01-18,22177,H. S. Irwin,L. B. Smith; E. S. Ayensu,898620,f9faa5ae-6e17-43e2-9819-fc5e4b97a664,Ca. 12km SW of Diamantina.  Serra do Espinhaço.
Vellozia abietina,-43.7407994,-18.4581811,BRA,NA,1929573670,Velloziaceae,SPECIES,37970,1971,PRESERVED_SPECIMEN,NY,1971-11-13,27835,G. G. Hatschbach,L. B. Smith; E. S. Ayensu,898623,7fd3e9ac-88bd-49a5-87b9-4f06d2e66b9b,Serra do Espinhaço
Vellozia abietina,-43.6557937,-18.449581,BRA,NA,1931093518,Velloziaceae,SPECIES,NA,1972,PRESERVED_SPECIMEN,NY,1972-01-19,15979,L. B. Smith,L. B. Smith; E. S. Ayensu,898616,eb4eeaca-82ad-4d80-a888-0740e50b928c,9 km west of Serro.
Vellozia abietina,-43.6557937,-18.449581,BRA,NA,1927980733,Velloziaceae,SPECIES,NA,1972,PRESERVED_SPECIMEN,NY,1972-01-19,15985,L. B. Smith,L. B. Smith; E. S. Ayensu,898615,0f1cb606-2eca-4b7c-b873-fcd2631e2980,27 km west of Serro.
Vellozia abietina,-43.83445,-18.56465,BRA,NA,1929937950,Velloziaceae,SPECIES,10000,1972,PRESERVED_SPECIMEN,NY,1972-02-07,35625,W. R. Anderson,L. B. Smith,898618,99b53886-c1c2-4933-9e2d-8e1cfd6b57e4,"Serra do Espinhaço, ca. 17 km SW of Gouevia, km 258 on MG-259"
Vellozia abietina,-43.72035,-18.36499,BRA,NA,1927837368,Velloziaceae,SPECIES,5000,1973,PRESERVED_SPECIMEN,NY,1973-04-10,8472,W. R. Anderson,L. B. Smith,898617,04eec80c-6db2-4dfb-b0c3-f4ff5b3b45d5,Ca. 18 km by road SW of Diamantina on road to Curvelo.  Serra do Espinhaço.
Vellozia abietina,-43.7333,-18.45,BRA,NA,2270476046,Velloziaceae,SPECIES,39000,1985,PRESERVED_SPECIMEN,ASU,1985-09-13,49614,"G. Hatschbach; R. Kummrow, R. M. Silva, N. Menezes",NA,ASU0014857,005be0e9-2d60-47e7-84e0-882422250c51,Rio Cachoeira (mun.Gouveia) Minas Gerais.
Vellozia abietina,-43.6557937,-18.449581,BRA,NA,1928477398,Velloziaceae,SPECIES,NA,1985,PRESERVED_SPECIMEN,NY,1985-11-24,CFCR8723,R. de Mello-Silva,NA,2219607,321e5d84-4848-430c-bfdf-58f1d3894721,"Estrada Curvelo-Diamantina, km 108, em estrada vicinal."
Vellozia abietina,-43.6004898,-18.2531773,BRA,NA,1930014383,Velloziaceae,SPECIES,NA,2000,PRESERVED_SPECIMEN,NY,2000-01-29,1733,R. de Mello-Silva,R. de Mello-Silva,1039478,9f28bce7-bdbb-40c2-904c-1d1331169507,"3.8 km na estrada para Biribiri, a partir da BR 367 (Diamantina-Araçuaí)."
Vellozia abietina,-43.623056,-18.188611,BRA,NA,1090827345,Velloziaceae,SPECIES,NA,2001,PRESERVED_SPECIMEN,UFU,2001-10-14,8482,"Almeda, F.; Martins, A.B.; Fritsch, P.W. & Belinello, R.",NA,62763,BRA:UFU:HUFU:62763,Vicinity of Cachoeira dos Cristais
Vellozia abietina,-43.43833,-18.53861,BRA,3,1095224808,Velloziaceae,SPECIES,NA,2003,PRESERVED_SPECIMEN,Cenargen,2003-01-18,3104,Taciana Barbosa Cavalcanti,R. Mello-Silva,46936,BRA:CENARGEN:CEN:46936,"Estrada de terra Serro - Milho Verde, a 10 km de Serro."
