species,Longitude,Latitude
Vellozia abietina,-43.55,-18.55
Vellozia abietina,-43.7,-18.27
Vellozia abietina,-43.7407994,-18.4581811
Vellozia abietina,-43.6557937,-18.449581
Vellozia abietina,-43.6557937,-18.449581
Vellozia abietina,-43.83445,-18.56465
Vellozia abietina,-43.72035,-18.36499
Vellozia abietina,-43.7333,-18.45
Vellozia abietina,-43.6557937,-18.449581
Vellozia abietina,-43.6004898,-18.2531773
Vellozia abietina,-43.623056,-18.188611
Vellozia abietina,-43.43833,-18.53861
Vellozia abietina,-43.475,-18.567222
Vellozia abietina,-43.5925,-18.571944
Vellozia abietina,-43.486947,-18.470556
Vellozia abietina,-43.487222,-18.474167
Vellozia abietina,-43.572222,-18.196389
Vellozia abietina,-43.592777,-18.572222
Vellozia abietina,-43.684444,-18.274444
Vellozia abietina,-43.553055,-18.291666
Vellozia abietina,-43.623056,-18.188611
Vellozia abietina,-43.684444,-18.508333
Vellozia abietina,-43.676111,-18.261667
Vellozia abietina,-43.463333,-18.479444
Vellozia abietina,-43.406111,-18.462778
Vellozia abietina,-43.511944,-18.511667
Vellozia abietina,-43.472222,-18.438055
Vellozia abietina,-43.775833,-17.808055
Vellozia abietina,-43.429167,-18.542222
Vellozia abietina,-44.011944,-19.859166
