species,Longitude,Latitude
Vellozia albiflora,-47.784722,-15.6555
Vellozia albiflora,-48,-17
Vellozia albiflora,-47.613611,-16.768611
Vellozia albiflora,-47.613611,-16.768611
Vellozia albiflora,-48,-17
Vellozia albiflora,-50.001111,-16.0611
Vellozia albiflora,-48,-17
Vellozia albiflora,-47.613611,-16.768611
Vellozia albiflora,-43.7,-18.27
Vellozia albiflora,-43.536667,-18.1838
Vellozia albiflora,-43.492778,-20.1263
Vellozia albiflora,-43.492778,-20.1263
Vellozia albiflora,-43.7407994,-18.4581811
Vellozia albiflora,-48.959167,-15.8525
Vellozia albiflora,-48.959167,-15.8525
Vellozia albiflora,-48.459722,-14.473889
Vellozia albiflora,-43.6007,-18.24015
Vellozia albiflora,-43.4248789,-19.0409924
Vellozia albiflora,-43.6004898,-18.2531773
Vellozia albiflora,-47.916667,-15.95
Vellozia albiflora,-43.0594,-18.1422
Vellozia albiflora,-43.0093503,-18.2973787
Vellozia albiflora,-50.383333,-16.183333
Vellozia albiflora,-44.166667,-21.083333
Vellozia albiflora,-40.6,-19.936111
Vellozia albiflora,-41.019167,-20.403889
Vellozia albiflora,-42.466667,-20.733333
Vellozia albiflora,-42.2,-20.766667
Vellozia albiflora,-44.616667,-18.216667
Vellozia albiflora,-44.35,-18.07
Vellozia albiflora,-43.4,-18.15
Vellozia albiflora,-44.36,-18.11
Vellozia albiflora,-44.36,-18.11
Vellozia albiflora,-42.483333,-20.716667
Vellozia albiflora,-47.666667,-15.75
Vellozia albiflora,-43.666667,-18.25
Vellozia albiflora,-43.05,-18.05
Vellozia albiflora,-43.666667,-18.25
Vellozia albiflora,-43.883333,-22
Vellozia albiflora,-43.366667,-18.6
Vellozia albiflora,-43.3793754,-18.6084843
Vellozia albiflora,-44.05,-20.835277
Vellozia albiflora,-47.85,-15.866667
Vellozia albiflora,-43.703889,-18.213889
Vellozia albiflora,-47.85,-15.866667
Vellozia albiflora,-42.53,-22.324444
Vellozia albiflora,-43.25,-18.216667
Vellozia albiflora,-43.883333,-21.7
Vellozia albiflora,-40.775278,-19.796944
Vellozia albiflora,-47.6525,-15.733333
Vellozia albiflora,-43.883333,-21.7
Vellozia albiflora,-47.85,-15.866667
Vellozia albiflora,-43.883333,-21.666667
Vellozia albiflora,-47.85,-15.866667
Vellozia albiflora,-47.85,-15.866667
Vellozia albiflora,-40.775278,-19.796944
Vellozia albiflora,-42.724444,-18.005556
Vellozia albiflora,-42.741111,-18.111944
Vellozia albiflora,-40.775278,-19.796944
Vellozia albiflora,-40.981111,-19.741389
Vellozia albiflora,-40.826111,-19.874444
Vellozia albiflora,-45.951167,-18.600444
Vellozia albiflora,-44.059258,-20.118519
Vellozia albiflora,-40.7575,-19.770833
Vellozia albiflora,-44.15355,-20.101853
Vellozia albiflora,-44.141975,-20.160572
Vellozia albiflora,-43.824194,-21.940111
Vellozia albiflora,-43.778639,-21.930528
Vellozia albiflora,-43.449167,-18.275278
Vellozia albiflora,-41.286139,-20.175833
Vellozia albiflora,-42.928611,-16.595
Vellozia albiflora,-41.276944,-17.905556
Vellozia albiflora,-40.921389,-20.1775
Vellozia albiflora,-46.411111,-20.855556
Vellozia albiflora,-43.894181,-21.714458
Vellozia albiflora,-43.684722,-20.062778
Vellozia albiflora,-42.701944,-19.702222
Vellozia albiflora,-41.432222,-20.175
Vellozia albiflora,-43.970386,-20.119969
Vellozia albiflora,-44.004556,-20.056889
Vellozia albiflora,-43.991603,-20.352483
Vellozia albiflora,-43.972747,-20.136319
Vellozia albiflora,-43.719722,-19.018889
Vellozia albiflora,-40.739722,-19.826944
Vellozia albiflora,-43.278333,-20.510556
Vellozia albiflora,-43.991389,-20.077222
Vellozia albiflora,-43.960556,-20.09
Vellozia albiflora,-43.954167,-20.0975
Vellozia albiflora,-43.956111,-20.095556
Vellozia albiflora,-43.414444,-20.3525
Vellozia albiflora,-43.553333,-19.290555
Vellozia albiflora,-43.543889,-18.159167
Vellozia albiflora,-43.309994,-19.394919
Vellozia albiflora,-43.436667,-20.153611
Vellozia albiflora,-43.905833,-20.445833
Vellozia albiflora,-43.436667,-20.153611
Vellozia albiflora,-43.436667,-20.153611
Vellozia albiflora,-43.436667,-20.153611
Vellozia albiflora,-43.436667,-20.153611
Vellozia albiflora,-43.713889,-18.163611
Vellozia albiflora,-44.438611,-20.414444
Vellozia albiflora,-44.012778,-20.336944
Vellozia albiflora,-44.0875,-20.256111
Vellozia albiflora,-44.093889,-20.260278
Vellozia albiflora,-43.379167,-18.130556
Vellozia albiflora,-43.615555,-19.0025
Vellozia albiflora,-43.600278,-18.249444
Vellozia albiflora,-43.552778,-18.355
Vellozia albiflora,-43.256944,-22.423056
Vellozia albiflora,-43.903889,-17.926111
Vellozia albiflora,-43.903889,-17.926111
Vellozia albiflora,-43.742778,-17.810833
Vellozia albiflora,-43.742778,-17.810833
Vellozia albiflora,-43.761111,-17.847222
Vellozia albiflora,-43.788333,-17.96
Vellozia albiflora,-43.783056,-17.915556
Vellozia albiflora,-43.6325,-20.148889
Vellozia albiflora,-42.472194,-20.747778
Vellozia albiflora,-44.499297,-21.230303
Vellozia albiflora,-43.57,-20.228333
Vellozia albiflora,-43.883056,-20.271111
Vellozia albiflora,-43.601389,-20.200556
Vellozia albiflora,-43.656944,-20.150556
Vellozia albiflora,-43.506414,-20.382417
Vellozia albiflora,-43.598889,-20.206111
Vellozia albiflora,-43.6675,-20.111111
Vellozia albiflora,-43.899722,-20.434444
Vellozia albiflora,-43.588055,-18.238611
Vellozia albiflora,-43.571667,-18.226944
Vellozia albiflora,-44.5025,-21.223889
Vellozia albiflora,-43.965278,-20.2475
Vellozia albiflora,-43.711667,-20.483889
Vellozia albiflora,-44.020833,-20.094444
Vellozia albiflora,-43.705,-20.481667
Vellozia albiflora,-42.957222,-16.586944
Vellozia albiflora,-43.463889,-18.480278
Vellozia albiflora,-43.704167,-17.890278
Vellozia albiflora,-43.786667,-17.961111
Vellozia albiflora,-43.436667,-18.538889
Vellozia albiflora,-43.490833,-18.468889
Vellozia albiflora,-43.472222,-18.438055
Vellozia albiflora,-43.376944,-18.297778
Vellozia albiflora,-43.376944,-18.297778
Vellozia albiflora,-43.960278,-20.282778
Vellozia albiflora,-44.141944,-21.073611
Vellozia albiflora,-43.780833,-17.791944
Vellozia albiflora,-41.358333,-19.373611
Vellozia albiflora,-43.490292,-20.257892
Vellozia albiflora,-43.861667,-20.451667
Vellozia albiflora,-43.956389,-20.273056
Vellozia albiflora,-43.490292,-20.257892
Vellozia albiflora,-43.854722,-20.445
Vellozia albiflora,-43.861111,-20.444167
Vellozia albiflora,-43.861111,-20.444167
Vellozia albiflora,-43.929444,-20.511111
