species,Longitude,Latitude
Vellozia aloifolia,-43.539757,-19.388386
Vellozia aloifolia,-43.7833,-18.0833
Vellozia aloifolia,-43.7833,-18.0833
Vellozia aloifolia,-43.75,-18.85
Vellozia aloifolia,-43.766667,-18.866667
Vellozia aloifolia,-43.816667,-18.833333
Vellozia aloifolia,-43.6,-18.25
Vellozia aloifolia,-43.4,-18.15
Vellozia aloifolia,-43.883333,-18.333333
Vellozia aloifolia,-44.36,-18.11
Vellozia aloifolia,-43.589056,-19.286583
Vellozia aloifolia,-44.35,-18.07
Vellozia aloifolia,-43,-18
Vellozia aloifolia,-43,-18
Vellozia aloifolia,-43.0107492,-16.8759505
Vellozia aloifolia,-43.6004898,-18.2531773
Vellozia aloifolia,-43.7407994,-18.4581811
Vellozia aloifolia,-43.674722,-18.25
Vellozia aloifolia,-43.078056,-16.741944
Vellozia aloifolia,-43.551128,-18.370844
Vellozia aloifolia,-43.629167,-18.210278
Vellozia aloifolia,-43.484444,-19.22
Vellozia aloifolia,-43.520556,-19.246667
Vellozia aloifolia,-43.51675,-19.23425
Vellozia aloifolia,-43.724167,-19.020833
Vellozia aloifolia,-43.704722,-19.025
Vellozia aloifolia,-43.521,-17.573222
Vellozia aloifolia,-43.488333,-18.449444
Vellozia aloifolia,-43.475278,-18.432778
Vellozia aloifolia,-43.475278,-18.432778
Vellozia aloifolia,-43.342222,-18.228333
Vellozia aloifolia,-43.342222,-18.228333
Vellozia aloifolia,-43.908611,-18.313333
Vellozia aloifolia,-43.612222,-18.261667
Vellozia aloifolia,-43.596389,-18.216944
Vellozia aloifolia,-43.88,-18.308611
