species,Longitude,Latitude
Vellozia angustifolia,-48.8091305,-15.8279097
Vellozia angustifolia,-48.3964,-14.4651
Vellozia angustifolia,-43.4,-18.93
Vellozia angustifolia,-48.959167,-15.8525
Vellozia angustifolia,-48.959167,-15.8525
Vellozia angustifolia,-48.255,-15.939722
Vellozia angustifolia,-48.839444,-15.790278
Vellozia angustifolia,-48.316389,-15.922778
Vellozia angustifolia,-43.6557937,-18.449581
Vellozia angustifolia,-47.509167,-14.0725
Vellozia angustifolia,-48.771389,-15.809167
Vellozia angustifolia,-47.903611,-14.376111
Vellozia angustifolia,-48.959167,-15.8525
Vellozia angustifolia,-47.521666,-13.886388
Vellozia angustifolia,-48.803055,-15.810277
Vellozia angustifolia,-48.939444,-15.72
Vellozia angustifolia,-48.946944,-15.718056
Vellozia angustifolia,-48.939444,-15.719167
Vellozia angustifolia,-48.918889,-15.815
Vellozia angustifolia,-48.925,-15.714722
Vellozia angustifolia,-48.960165,-15.710048
Vellozia angustifolia,-43.306667,-17.131111
