species,Longitude,Latitude
Vellozia blanchetiana,-41.156,-11.55039
Vellozia blanchetiana,-41.1558252,-11.5539318
Vellozia blanchetiana,-41.05,-11.6
Vellozia blanchetiana,-41.7728657,-13.15557
Vellozia blanchetiana,-41.333333,-10.333333
Vellozia blanchetiana,-41.002528,-11.630556
Vellozia blanchetiana,-41.120556,-11.915833
Vellozia blanchetiana,-41.364833,-10.44825
Vellozia blanchetiana,-41.409722,-10.124722
Vellozia blanchetiana,-40.879167,-9.495278
Vellozia blanchetiana,-40.999444,-11.625278
Vellozia blanchetiana,-41.611027,-10.277333
Vellozia blanchetiana,-41.466667,-13.683333
