species,Longitude,Latitude
Vellozia candida,-43.32106,-22.98764
Vellozia candida,-41.1239241,-20.0782128
Vellozia candida,-41.366667,-15.95
Vellozia candida,-40.716667,-18.616667
Vellozia candida,-41.036111,-20.076389
Vellozia candida,-40.716667,-17.616667
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-41.100556,-20.519167
Vellozia candida,-40.848889,-19.264722
Vellozia candida,-40.798611,-18.944167
Vellozia candida,-40.551111,-19.348333
Vellozia candida,-40.665556,-18.977778
Vellozia candida,-40.802056,-18.944556
Vellozia candida,-40.432778,-18.7825
Vellozia candida,-40.667778,-18.978889
Vellozia candida,-41.098611,-20.5375
Vellozia candida,-41.098611,-20.5375
Vellozia candida,-40.4475,-18.770278
Vellozia candida,-41.083611,-20.516111
Vellozia candida,-40.604167,-18.615
Vellozia candida,-40.588611,-18.639444
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-40.741389,-19.827222
Vellozia candida,-41.260944,-17.855972
Vellozia candida,-39.777222,-16.678056
Vellozia candida,-43.243611,-22.991667
Vellozia candida,-41.1875,-19.6275
Vellozia candida,-43.239722,-22.990555
Vellozia candida,-40.876667,-19.231111
Vellozia candida,-40.777778,-19.006111
Vellozia candida,-40.582778,-18.643889
Vellozia candida,-40.553611,-18.653333
Vellozia candida,-40.468889,-18.803889
Vellozia candida,-40.768611,-19.290833
Vellozia candida,-40.995,-17.863333
Vellozia candida,-40.995833,-17.8275
Vellozia candida,-40.995833,-17.8275
Vellozia candida,-41.216944,-17.978333
Vellozia candida,-41.216944,-17.978333
Vellozia candida,-41.353056,-20.648333
Vellozia candida,-41.184722,-17.929167
Vellozia candida,-41.864722,-21.833333
Vellozia candida,-43.285917,-22.943722
Vellozia candida,-43.286389,-22.943611
Vellozia candida,-44.614772,-23.263447
Vellozia candida,-43.283611,-22.941667
Vellozia candida,-43.226944,-22.975278
Vellozia candida,-40.456944,-18.766389
Vellozia candida,-40.804444,-18.593055
Vellozia candida,-40.840555,-19.125833
Vellozia candida,-40.840833,-19.188889
Vellozia candida,-40.840833,-19.188889
Vellozia candida,-40.741944,-19.055833
Vellozia candida,-40.676667,-19.021389
Vellozia candida,-40.741944,-19.055833
Vellozia candida,-40.818611,-19.164444
Vellozia candida,-40.676667,-19.021389
Vellozia candida,-41.093333,-20.511389
Vellozia candida,-41.325,-20.616389
