species,Longitude,Latitude
Vellozia caruncularis,-43.583333,-19.166667
Vellozia caruncularis,-43.916667,-19.166667
Vellozia caruncularis,-44.0535224,-19.9357082
Vellozia caruncularis,-43.554488,-19.288549
Vellozia caruncularis,-43.548872,-19.278562
Vellozia caruncularis,-43.6557937,-18.449581
Vellozia caruncularis,-43.583333,-19.285
Vellozia caruncularis,-43.3090692,-17.0684542
Vellozia caruncularis,-43.6004898,-18.2531773
Vellozia caruncularis,-43.7143985,-19.1729946
Vellozia caruncularis,-43.4,-18.15
Vellozia caruncularis,-43.53,-18.2
Vellozia caruncularis,-43.5,-18.1
Vellozia caruncularis,-43.666667,-18.25
Vellozia caruncularis,-43.978611,-20.048611
Vellozia caruncularis,-43.983611,-20.093056
Vellozia caruncularis,-44.1621,-17.4159
Vellozia caruncularis,-44.059258,-20.118519
Vellozia caruncularis,-43.835833,-18.2975
Vellozia caruncularis,-43.586944,-19.2875
Vellozia caruncularis,-43.763056,-19
Vellozia caruncularis,-43.956389,-20.277778
Vellozia caruncularis,-44.606019,-20.203858
Vellozia caruncularis,-44.569367,-20.2
Vellozia caruncularis,-44.15355,-20.101853
Vellozia caruncularis,-43.432222,-20.197222
Vellozia caruncularis,-43.758371,-18.962842
Vellozia caruncularis,-43.743075,-18.945079
Vellozia caruncularis,-43.78937,-18.927433
Vellozia caruncularis,-43.734439,-18.957011
Vellozia caruncularis,-44.02675,-20.076861
Vellozia caruncularis,-43.983906,-20.107833
Vellozia caruncularis,-43.571389,-18.535
Vellozia caruncularis,-43.792222,-17.915
Vellozia caruncularis,-43.685,-18.235
Vellozia caruncularis,-43.863056,-18.590833
Vellozia caruncularis,-43.972778,-20.136389
Vellozia caruncularis,-43.518056,-19.2475
Vellozia caruncularis,-43.708056,-19.046389
Vellozia caruncularis,-43.433333,-20.198611
Vellozia caruncularis,-43.521994,-19.226761
Vellozia caruncularis,-43.991389,-20.077222
Vellozia caruncularis,-43.991389,-20.077222
Vellozia caruncularis,-43.960556,-20.09
Vellozia caruncularis,-43.960556,-20.09
Vellozia caruncularis,-43.954167,-20.0975
Vellozia caruncularis,-43.960556,-20.09
Vellozia caruncularis,-43.960556,-20.09
Vellozia caruncularis,-43.954167,-20.0975
Vellozia caruncularis,-43.956111,-20.095556
Vellozia caruncularis,-43.717222,-19.033056
Vellozia caruncularis,-43.918889,-20.441111
Vellozia caruncularis,-43.918889,-20.441111
Vellozia caruncularis,-43.5775,-20.018333
Vellozia caruncularis,-43.448333,-19.882222
Vellozia caruncularis,-43.419167,-20.313889
Vellozia caruncularis,-43.419167,-20.313889
Vellozia caruncularis,-43.550556,-20.233056
Vellozia caruncularis,-43.930278,-20.421389
Vellozia caruncularis,-43.930278,-20.421389
Vellozia caruncularis,-43.499444,-19.2225
Vellozia caruncularis,-43.885833,-19.948056
Vellozia caruncularis,-43.680639,-18.268278
Vellozia caruncularis,-43.762778,-18.284167
Vellozia caruncularis,-43.255814,-19.526439
Vellozia caruncularis,-43.512222,-18.260833
Vellozia caruncularis,-44.003611,-20.336667
Vellozia caruncularis,-44.0875,-20.256111
Vellozia caruncularis,-43.552778,-18.355
Vellozia caruncularis,-44,-21.093953
Vellozia caruncularis,-44,-21.06775
Vellozia caruncularis,-44,-21.062803
Vellozia caruncularis,-43.460556,-18.476944
Vellozia caruncularis,-43.987778,-17.979444
Vellozia caruncularis,-43.269722,-19.427778
Vellozia caruncularis,-43.478056,-19.469167
Vellozia caruncularis,-43.6325,-20.095833
Vellozia caruncularis,-43.654722,-20.153889
Vellozia caruncularis,-43.652778,-20.154167
Vellozia caruncularis,-43.59,-18.222778
Vellozia caruncularis,-43.571389,-18.199167
Vellozia caruncularis,-43.965278,-20.2475
Vellozia caruncularis,-43.910833,-19.961111
Vellozia caruncularis,-43.910833,-19.961111
Vellozia caruncularis,-43.85,-20.447778
Vellozia caruncularis,-43.85,-20.447778
Vellozia caruncularis,-44.020278,-20.094444
Vellozia caruncularis,-43.619167,-20.141111
Vellozia caruncularis,-43.982778,-20.098611
Vellozia caruncularis,-43.845,-18.295556
Vellozia caruncularis,-43.909444,-20.435278
Vellozia caruncularis,-43.609722,-19.421111
Vellozia caruncularis,-43.549722,-19.502222
Vellozia caruncularis,-43.931667,-20.123611
Vellozia caruncularis,-43.888055,-19.946944
Vellozia caruncularis,-43.88925,-19.443639
Vellozia caruncularis,-43.897222,-18.309722
Vellozia caruncularis,-43.88,-18.308611
Vellozia caruncularis,-43.516944,-19.247778
Vellozia caruncularis,-43.558333,-19.28
Vellozia caruncularis,-43.594722,-19.282778
Vellozia caruncularis,-43.682778,-18.940278
Vellozia caruncularis,-43.531667,-19.259722
Vellozia caruncularis,-43.555556,-19.336111
Vellozia caruncularis,-43.524167,-19.2
Vellozia caruncularis,-44.015833,-20.039444
Vellozia caruncularis,-43.992,-19.470972
Vellozia caruncularis,-43.67,-19.114722
Vellozia caruncularis,-43.89,-19.442778
Vellozia caruncularis,-43.67,-19.114722
Vellozia caruncularis,-43.591944,-19.296667
Vellozia caruncularis,-43.548333,-19.0775
Vellozia caruncularis,-43.861111,-20.444167
Vellozia caruncularis,-43.861111,-20.444167
Vellozia caruncularis,-43.861111,-20.444167
Vellozia caruncularis,-43.713333,-19.036667
