species,Longitude,Latitude
Vellozia caudata,-41.883333,-13.266667
Vellozia caudata,-41.95,-13.55
Vellozia caudata,-41.8114684,-13.5828799
Vellozia caudata,-41.933333,-13.533333
Vellozia caudata,-41.966667,-13.533333
Vellozia caudata,-41.966667,-13.533333
Vellozia caudata,-41.966667,-13.533333
Vellozia caudata,-41.95,-13.53
Vellozia caudata,-41.933334,-13.533333
Vellozia caudata,-41.983333,-13.5
Vellozia caudata,-41.95,-13.53333
Vellozia caudata,-41.95,-13.533333
Vellozia caudata,-41.983334,-13.5
Vellozia caudata,-42,-13.52
Vellozia caudata,-42,-13.516667
Vellozia caudata,-42,-13.516667
Vellozia caudata,-41.95,-13.533333
Vellozia caudata,-41.916667,-13.25
Vellozia caudata,-41.883333,-13.3
Vellozia caudata,-41.88,-13.28
Vellozia caudata,-41.851944,-13.475556
Vellozia caudata,-41.88,-13.33
Vellozia caudata,-41.9,-13.28
Vellozia caudata,-42,-13.516667
Vellozia caudata,-41.836667,-13.599722
Vellozia caudata,-41.948889,-13.503611
Vellozia caudata,-41.9575,-13.522778
Vellozia caudata,-41.9575,-13.518611
Vellozia caudata,-41.971667,-13.503611
Vellozia caudata,-41.517,-13.2832
Vellozia caudata,-41.338611,-12.803333
Vellozia caudata,-41.338611,-12.803333
Vellozia caudata,-41.959167,-13.523889
Vellozia caudata,-41.826667,-13.598889
Vellozia caudata,-41.910556,-13.535
