species,Longitude,Latitude
Vellozia cinerascens,-40.598333,-9.321389
Vellozia cinerascens,-37.233611,-8.518889
Vellozia cinerascens,-40.551444,-9.325167
Vellozia cinerascens,-40.55025,-9.316916
Vellozia cinerascens,-41.379527,-9.441361
Vellozia cinerascens,-40.554208,-9.329961
Vellozia cinerascens,-40.553631,-9.329772
Vellozia cinerascens,-40.556569,-9.331019
Vellozia cinerascens,-41.063333,-9.901667
Vellozia cinerascens,-40.210472,-10.36625
Vellozia cinerascens,-40.55025,-9.327388
Vellozia cinerascens,-40.550278,-9.326944
Vellozia cinerascens,-43.488889,-9.220833
Vellozia cinerascens,-44.455,-9.19
Vellozia cinerascens,-40.694383,-9.337588
