species,Longitude,Latitude
Vellozia compacta,-43.539722,-19.388333
Vellozia compacta,-43.95,-19.666667
Vellozia compacta,-43.8,-20.22
Vellozia compacta,-43.55,-18.55
Vellozia compacta,-43.7,-18.33
Vellozia compacta,-43.7143985,-19.1729946
Vellozia compacta,-43.7833,-18.0833
Vellozia compacta,-43.492778,-20.1263
Vellozia compacta,-43.7143985,-19.1729946
Vellozia compacta,-43.666667,-19.816667
Vellozia compacta,-43.43,-20.29
Vellozia compacta,-43.6918987,-20.5246191
Vellozia compacta,-43.404444,-19.490833
Vellozia compacta,-43.4154793,-19.9632094
Vellozia compacta,-43.84,-20.21138
Vellozia compacta,-43.983333,-20.1
Vellozia compacta,-44.05,-20.833333
Vellozia compacta,-43.978611,-20.048611
Vellozia compacta,-43.983611,-20.093056
Vellozia compacta,-43.376389,-19.85
Vellozia compacta,-43.6889,-20.4888
Vellozia compacta,-44.572453,-20.590122
Vellozia compacta,-43.969908,-20.374461
Vellozia compacta,-43.880444,-18.666194
Vellozia compacta,-43.961961,-20.360725
Vellozia compacta,-44.572453,-20.590122
Vellozia compacta,-43.718889,-20.48
Vellozia compacta,-44.569367,-20.2
Vellozia compacta,-44.15355,-20.101853
Vellozia compacta,-44.141975,-20.160572
Vellozia compacta,-43.864444,-20.164444
Vellozia compacta,-44.453394,-20.401544
Vellozia compacta,-43.807717,-20.703394
Vellozia compacta,-43.595222,-19.29125
Vellozia compacta,-43.450833,-20.134444
Vellozia compacta,-43.681328,-20.237114
Vellozia compacta,-43.958611,-20.33
Vellozia compacta,-44.566667,-20.545678
Vellozia compacta,-43.751218,-18.947649
Vellozia compacta,-43.713611,-20.069722
Vellozia compacta,-43.433333,-20.198611
Vellozia compacta,-43.4925,-20.431111
Vellozia compacta,-43.712222,-20.483889
Vellozia compacta,-43.706944,-19.035278
Vellozia compacta,-43.954167,-20.0975
Vellozia compacta,-43.954167,-20.0975
Vellozia compacta,-43.918889,-20.441111
Vellozia compacta,-43.918889,-20.441111
Vellozia compacta,-43.5775,-20.018333
Vellozia compacta,-43.415556,-20.159167
Vellozia compacta,-43.453056,-20.161667
Vellozia compacta,-43.349167,-19.164444
Vellozia compacta,-43.657222,-20.107778
Vellozia compacta,-43.500278,-20.089167
Vellozia compacta,-43.924722,-20.147222
Vellozia compacta,-43.924722,-20.147222
Vellozia compacta,-43.905833,-20.445833
Vellozia compacta,-43.436667,-20.153611
Vellozia compacta,-43.436667,-20.153611
Vellozia compacta,-43.436667,-20.153611
Vellozia compacta,-43.924722,-20.147222
Vellozia compacta,-43.905833,-20.445833
Vellozia compacta,-43.436667,-20.153611
Vellozia compacta,-44.428333,-20.401944
Vellozia compacta,-44.428333,-20.401944
Vellozia compacta,-44.431944,-20.406667
Vellozia compacta,-44.431944,-20.406667
Vellozia compacta,-44.014722,-20.3275
Vellozia compacta,-44.003333,-20.336667
Vellozia compacta,-44.0875,-20.256111
Vellozia compacta,-44.0875,-20.256111
Vellozia compacta,-43.5225,-19.899722
Vellozia compacta,-43.902778,-20.28
Vellozia compacta,-43.897222,-20.277778
Vellozia compacta,-43.885,-20.279722
Vellozia compacta,-43.878611,-20.130833
Vellozia compacta,-43.671667,-20.167778
Vellozia compacta,-43.846944,-20.223333
Vellozia compacta,-43.965278,-20.2475
Vellozia compacta,-43.505328,-20.385306
Vellozia compacta,-43.710833,-20.482778
Vellozia compacta,-43.718333,-20.485556
Vellozia compacta,-43.521389,-19.867778
Vellozia compacta,-43.494722,-20.204444
Vellozia compacta,-43.990555,-20.116667
Vellozia compacta,-43.989444,-20.117222
Vellozia compacta,-43.329722,-18.396944
Vellozia compacta,-43.420833,-20.133056
Vellozia compacta,-43.416667,-20.137778
Vellozia compacta,-43.4175,-20.135
Vellozia compacta,-43.960278,-20.282778
Vellozia compacta,-43.671667,-20.1675
Vellozia compacta,-43.685917,-20.087694
Vellozia compacta,-44.003333,-20.035556
Vellozia compacta,-43.861389,-20.443611
Vellozia compacta,-44.038611,-20.529444
Vellozia compacta,-43.490358,-20.258858
Vellozia compacta,-43.488056,-20.259722
