species,Longitude,Latitude
Vellozia dasypus,-38.283333,-12.6
Vellozia dasypus,-39.0142849,-14.1069915
Vellozia dasypus,-41.383333,-12.566667
Vellozia dasypus,-41.383278,-12.552663
Vellozia dasypus,-41.3,-13.583333
Vellozia dasypus,-41.35,-13.016667
Vellozia dasypus,-41.417952,-13.024636
Vellozia dasypus,-41.370556,-13.005556
Vellozia dasypus,-38.283333,-12.6
Vellozia dasypus,-41.3706394,-13.0092667
Vellozia dasypus,-41.333333,-12.95
Vellozia dasypus,-39,-14.133333
Vellozia dasypus,-41.333333,-12.95
Vellozia dasypus,-41.2,-12.57
Vellozia dasypus,-36.512222,-10.441667
Vellozia dasypus,-37.054167,-10.789167
Vellozia dasypus,-41.344377,-12.978969
Vellozia dasypus,-41.516667,-12.566667
Vellozia dasypus,-41.383186,-12.997781
Vellozia dasypus,-41.327911,-12.939004
Vellozia dasypus,-41.383333,-12.566667
Vellozia dasypus,-38.95,-14.066667
Vellozia dasypus,-41.366667,-12.516667
Vellozia dasypus,-39.016667,-14.183333
Vellozia dasypus,-41.5589516,-12.5328554
Vellozia dasypus,-41.366667,-12.516667
Vellozia dasypus,-38.0128,-12.3148
Vellozia dasypus,-41.3706394,-13.0092667
Vellozia dasypus,-41.416667,-13.666667
Vellozia dasypus,-41.266667,-13.7
Vellozia dasypus,-41.466667,-12.966667
Vellozia dasypus,-41.416667,-13.016667
Vellozia dasypus,-41.4,-13.016667
Vellozia dasypus,-41.4,-13.016667
Vellozia dasypus,-39,-14.166667
Vellozia dasypus,-41.466667,-12.45
Vellozia dasypus,-41.45,-12.466667
Vellozia dasypus,-41.366667,-12.466667
Vellozia dasypus,-41.37692,-12.522235
Vellozia dasypus,-38.08,-11.94
Vellozia dasypus,-41.3897406,-12.5669562
Vellozia dasypus,-41.3897406,-12.5669562
Vellozia dasypus,-41.36667,-12.98333
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-41.366667,-12.516667
Vellozia dasypus,-37.185278,-10.452778
Vellozia dasypus,-38.3,-12.65
Vellozia dasypus,-38.35,-12.916667
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-40.51667,-11.18333
Vellozia dasypus,-41.26667,-12.5
Vellozia dasypus,-41.41667,-12.46667
Vellozia dasypus,-40.3,-12.516667
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-41.360516,-12.997759
Vellozia dasypus,-41.404906,-12.460312
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-41.475086,-12.454373
Vellozia dasypus,-41.4092,-13.008391
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-38.316667,-12.9
Vellozia dasypus,-41.533333,-12.583333
Vellozia dasypus,-41.5589516,-12.5328554
Vellozia dasypus,-41.362688,-12.547127
Vellozia dasypus,-41.35,-13.016667
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-41.369808,-12.996334
Vellozia dasypus,-41.383333,-13.233333
Vellozia dasypus,-38.9965836,-14.2814954
Vellozia dasypus,-39.066667,-14.366667
Vellozia dasypus,-41.233333,-13.666667
Vellozia dasypus,-37.148333,-10.688611
Vellozia dasypus,-37.185278,-10.452778
Vellozia dasypus,-37.185278,-10.452778
Vellozia dasypus,-37.253056,-10.410833
Vellozia dasypus,-42.2733,-14.0819
