species,Longitude,Latitude
Vellozia declinans,-43.536667,-18.1838
Vellozia declinans,-43.7407994,-18.4581811
Vellozia declinans,-43.6004898,-18.2531773
Vellozia declinans,-43.49,-18.5
Vellozia declinans,-43.35,-18.35
Vellozia declinans,-43.35,-19.2
Vellozia declinans,-43.7407994,-18.4581811
Vellozia declinans,-43.67222,-18.65278
Vellozia declinans,-43.42,-19.04
Vellozia declinans,-43.89528,-18.58667
Vellozia declinans,-43.370556,-18.145833
Vellozia declinans,-43.446,-18.514
Vellozia declinans,-43.737222,-19.048611
Vellozia declinans,-43.914722,-19.010278
Vellozia declinans,-43.937778,-19.920833
Vellozia declinans,-43.617778,-17.779444
Vellozia declinans,-43.4138,-18.1547
Vellozia declinans,-43.75895,-19.006194
Vellozia declinans,-43.306256,-19.404614
Vellozia declinans,-43.552777,-18.355
Vellozia declinans,-43.915,-18.523889
Vellozia declinans,-43.481667,-19.486944
Vellozia declinans,-43.544167,-19.494167
Vellozia declinans,-43.451667,-18.521111
Vellozia declinans,-43.724444,-18.806667
Vellozia declinans,-43.668611,-18.970278
