species,Longitude,Latitude
Vellozia froesii,-41.316667,-12.8
Vellozia froesii,-41.5,-13
Vellozia froesii,-41.370556,-13.005556
Vellozia froesii,-41.3706394,-13.0092667
Vellozia froesii,-41.15,-11.55
Vellozia froesii,-41.3706394,-13.0092667
Vellozia froesii,-41.35,-12.983333
Vellozia froesii,-41.333333,-12.95
Vellozia froesii,-40.559167,-12.422222
Vellozia froesii,-41.316667,-12.833333
Vellozia froesii,-41.333333,-12.966667
Vellozia froesii,-41.116667,-11.45
Vellozia froesii,-40,-11
Vellozia froesii,-41.333333,-12.933333
Vellozia froesii,-41.866667,-13.3
Vellozia froesii,-41.85,-13.33
Vellozia froesii,-41.85,-13.3
Vellozia froesii,-41.9,-13.07
Vellozia froesii,-41.7728657,-13.15557
Vellozia froesii,-41.866667,-13.283333
Vellozia froesii,-41.6633586,-13.2533723
Vellozia froesii,-41.9,-13.266667
Vellozia froesii,-42.466667,-14.066667
Vellozia froesii,-41.833333,-13.233333
Vellozia froesii,-41.87,-13.3
Vellozia froesii,-41.75,-13.15
Vellozia froesii,-41.833333,-13.216667
Vellozia froesii,-41.85,-13.32
Vellozia froesii,-41.85,-13.383333
Vellozia froesii,-41.85,-13.32
Vellozia froesii,-41.783333,-13.366667
Vellozia froesii,-41.883333,-13.3
Vellozia froesii,-41.833333,-13.316666
Vellozia froesii,-41.85,-13.3
Vellozia froesii,-41.866667,-13.3
Vellozia froesii,-41.828611,-13.597778
Vellozia froesii,-41.468056,-12.454722
Vellozia froesii,-41.26667,-12.95
Vellozia froesii,-41.26667,-12.95
Vellozia froesii,-41.1228,-11.4931
Vellozia froesii,-40.494444,-11.1725
Vellozia froesii,-41.316667,-12.816667
Vellozia froesii,-41.192,-12.5658
Vellozia froesii,-41.766667,-13.283333
Vellozia froesii,-41.316667,-12.833333
Vellozia froesii,-41.1401,-13.2417
Vellozia froesii,-41.333333,-12.933333
Vellozia froesii,-40.507222,-11.195833
Vellozia froesii,-40.507222,-11.195833
Vellozia froesii,-40.507222,-11.195833
Vellozia froesii,-41.224,-13.0436
Vellozia froesii,-40.2832,-12.1852
Vellozia froesii,-41.309722,-12.851111
Vellozia froesii,-41.1642,-12.5659
Vellozia froesii,-41.371667,-11.499444
Vellozia froesii,-41.00065,-11.37273
Vellozia froesii,-41.307777,-12.866944
Vellozia froesii,-41.321667,-12.819722
Vellozia froesii,-41.286389,-13.681667
Vellozia froesii,-41.800833,-13.552222
Vellozia froesii,-41.800833,-13.552222
Vellozia froesii,-41.802222,-13.553889
Vellozia froesii,-41.763056,-13.151111
