species,Longitude,Latitude
Vellozia furcata,-41.916667,-13.533333
Vellozia furcata,-41.8114684,-13.5828799
Vellozia furcata,-41.831389,-13.600556
Vellozia furcata,-41.51,-13.28
Vellozia furcata,-41.9,-13.533333
Vellozia furcata,-41.9,-13.533333
Vellozia furcata,-41.933333,-13.533333
Vellozia furcata,-41.933334,-13.533333
Vellozia furcata,-41.98333,-13.5
Vellozia furcata,-41.966667,-13.533333
Vellozia furcata,-41.95,-13.533333
Vellozia furcata,-42,-13.51666
Vellozia furcata,-41.9,-13.533333
Vellozia furcata,-42,-13.516667
Vellozia furcata,-42,-13.516667
Vellozia furcata,-41.53,-13.18
Vellozia furcata,-41.52,-13.17
Vellozia furcata,-41.883333,-13.266667
Vellozia furcata,-41.9,-13.25
Vellozia furcata,-41.916667,-13.25
Vellozia furcata,-41.48,-13.17
Vellozia furcata,-41.95,-13.183333
Vellozia furcata,-41.9,-13.25
Vellozia furcata,-41.45,-13.13
Vellozia furcata,-41.866667,-13.283333
Vellozia furcata,-41.83,-13.37
Vellozia furcata,-41.77,-13.38
Vellozia furcata,-41.9,-13.3
Vellozia furcata,-41.87,-13.3
Vellozia furcata,-41.783333,-13.278056
Vellozia furcata,-41.75,-13.15
Vellozia furcata,-41.72,-13.27
Vellozia furcata,-41.9,-13.3
Vellozia furcata,-41.883333,-13.333333
Vellozia furcata,-41.866667,-13.3
Vellozia furcata,-41.783333,-13.4
Vellozia furcata,-41.9,-13.28
Vellozia furcata,-41.494167,-13.355278
Vellozia furcata,-41.853611,-13.408333
Vellozia furcata,-41.5,-13.02
Vellozia furcata,-41.845833,-13.553889
Vellozia furcata,-41.818617,-13.599722
Vellozia furcata,-41.937778,-13.52
Vellozia furcata,-41.934722,-13
Vellozia furcata,-41.934722,-13
Vellozia furcata,-41.9347,-13
Vellozia furcata,-41.5701,-13.3059
Vellozia furcata,-41.95,-13.533333
Vellozia furcata,-42.633333,-13.456111
Vellozia furcata,-41.510833,-12.62
Vellozia furcata,-41.815833,-13.806667
Vellozia furcata,-44.829444,-14.4
Vellozia furcata,-41.813333,-13.530556
Vellozia furcata,-41.802222,-13.553889
Vellozia furcata,-41.943889,-13.5175
Vellozia furcata,-41.910556,-13.535
Vellozia furcata,-41.910556,-13.535
