species,Longitude,Latitude
Vellozia geotegens,-43.6556,-18.44535
Vellozia geotegens,-43.6004898,-18.2531773
Vellozia geotegens,-43.6557937,-18.449581
Vellozia geotegens,-43.6557937,-18.449581
Vellozia geotegens,-43.55,-18.333333
Vellozia geotegens,-43.57033,-18.66111
Vellozia geotegens,-43.3932,-18.2617
Vellozia geotegens,-43.513889,-18.403611
Vellozia geotegens,-43.439167,-18.290278
Vellozia geotegens,-43.39148,-18.2745
Vellozia geotegens,-43.450556,-18.523056
Vellozia geotegens,-43.552777,-18.355
Vellozia geotegens,-43.684444,-18.508333
