species,Longitude,Latitude
Vellozia glabra,-43.95,-19.666667
Vellozia glabra,-43.554488,-19.288549
Vellozia glabra,-43.4,-18.87
Vellozia glabra,-43.7215,-18.4293
Vellozia glabra,-43.67613,-19.82237
Vellozia glabra,-43.98545,-18.6094
Vellozia glabra,-43.392,-18.43185
Vellozia glabra,-43.6004898,-18.2531773
Vellozia glabra,-43.55,-18.3
Vellozia glabra,-43.333,-18.3314
Vellozia glabra,-43.4414,-18.5212
Vellozia glabra,-43.748611,-18.255278
Vellozia glabra,-43.480833,-18.808611
Vellozia glabra,-43.432222,-20.197222
Vellozia glabra,-43.666667,-18.3
Vellozia glabra,-43.790278,-18.920278
Vellozia glabra,-43.760603,-19.000502
Vellozia glabra,-43.2601,-18.5338
Vellozia glabra,-43.708055,-19.046388
Vellozia glabra,-43.340278,-18.237222
Vellozia glabra,-43.551389,-19.080278
