species,Longitude,Latitude
Vellozia glandulifera,-43.554488,-19.288549
Vellozia glandulifera,-43.554488,-19.288549
Vellozia glandulifera,-43.4,-18.87
Vellozia glandulifera,-43.6836,-18.358
Vellozia glandulifera,-43.3793754,-18.6084843
Vellozia glandulifera,-43.6004898,-18.2531773
Vellozia glandulifera,-43.6004898,-18.2531773
Vellozia glandulifera,-43.7407994,-18.4581811
Vellozia glandulifera,-43.34,-19.18
Vellozia glandulifera,-43.516667,-19.25
Vellozia glandulifera,-43.518611,-19.236667
Vellozia glandulifera,-43.36,-19.17
