species,Longitude,Latitude
Vellozia glauca,-47.5,-14.5
Vellozia glauca,-47.6137542,-16.7723417
Vellozia glauca,-51.77,-17.3
Vellozia glauca,-51.77,-17.32
Vellozia glauca,-51.783333,-17.2
Vellozia glauca,-46.37,-14.13
Vellozia glauca,-48.52,-8.93
Vellozia glauca,-47.516667,-14.116667
Vellozia glauca,-48.959167,-15.8525
Vellozia glauca,-50.3,-6
Vellozia glauca,-47.5333,-14.79038
Vellozia glauca,-47.5333,-14.88076
Vellozia glauca,-47.5167,-13.93593
Vellozia glauca,-47.3204289,-13.8736809
Vellozia glauca,-48.8091304,-15.791769
Vellozia glauca,-41.783333,-13.55
Vellozia glauca,-46.166667,-11.466667
Vellozia glauca,-48.733333,-15.116667
Vellozia glauca,-47.216667,-11.183333
Vellozia glauca,-47.716667,-11.233333
Vellozia glauca,-46.95,-10.433333
Vellozia glauca,-47.794444,-14.174722
Vellozia glauca,-47.516667,-14.116667
Vellozia glauca,-47.516667,-14.116667
Vellozia glauca,-47,-14
Vellozia glauca,-47.92,-15.98
Vellozia glauca,-47.916667,-15.983333
Vellozia glauca,-50.433333,-5.916667
Vellozia glauca,-50.433333,-5.916667
Vellozia glauca,-47.5101417,-14.1361864
Vellozia glauca,-42.543,-16.34
Vellozia glauca,-42.91,-16.596667
Vellozia glauca,-50.033333,-15.95
Vellozia glauca,-48.38333,-14.3
Vellozia glauca,-48.38333,-14.3
Vellozia glauca,-47.264722,-13.776389
Vellozia glauca,-48.433333,-14.45
Vellozia glauca,-42.8665386,-15.4009198
Vellozia glauca,-41.53,-13.16
Vellozia glauca,-41.883333,-13.266667
Vellozia glauca,-47.258012,-13.779535
Vellozia glauca,-48.96667,-14.56667
Vellozia glauca,-42.44,-11.05
Vellozia glauca,-48.442222,-14.319444
Vellozia glauca,-48.436389,-14.417222
Vellozia glauca,-48.440833,-14.026111
Vellozia glauca,-48.436944,-14.390556
Vellozia glauca,-48.65222,-14.23528
Vellozia glauca,-48.431389,-14.654722
Vellozia glauca,-48.414444,-14.350833
Vellozia glauca,-48,-13.38111
Vellozia glauca,-48.846111,-15.806667
Vellozia glauca,-48.27417,-16.09417
Vellozia glauca,-47.273056,-20.164444
Vellozia glauca,-47.1638,-20.0928
Vellozia glauca,-47.1623,-20.0952
Vellozia glauca,-47.7,-11.68
Vellozia glauca,-47.143611,-11.146667
Vellozia glauca,-48.836667,-15.790833
Vellozia glauca,-47.433333,-19.85
Vellozia glauca,-47.1235,-20.297111
Vellozia glauca,-47.701667,-11.693889
Vellozia glauca,-47.29563,-13.581
Vellozia glauca,-50.397222,-6.371667
Vellozia glauca,-47.3555,-14.1058
Vellozia glauca,-50.349444,-6.397222
Vellozia glauca,-49.909722,-6.315
Vellozia glauca,-48.417778,-9.63
Vellozia glauca,-43.590278,-18.201944
Vellozia glauca,-42.891056,-16.546694
Vellozia glauca,-46.258889,-20.645
Vellozia glauca,-50.319722,-6.414722
Vellozia glauca,-50.347778,-6.398056
Vellozia glauca,-50.148889,-6.173889
Vellozia glauca,-50.186944,-6.110278
Vellozia glauca,-48.881111,-15.779722
Vellozia glauca,-46.338055,-12.3475
Vellozia glauca,-50.158611,-6.333333
Vellozia glauca,-50.1625,-6.333889
Vellozia glauca,-53.306111,-18.230556
Vellozia glauca,-53.309167,-18.243889
Vellozia glauca,-50.283889,-6.033333
Vellozia glauca,-50.169444,-6.158611
Vellozia glauca,-50.374167,-6.396111
Vellozia glauca,-50.351667,-6.408611
Vellozia glauca,-51.156389,-6.509167
Vellozia glauca,-50.1325,-6.328611
Vellozia glauca,-51.165,-6.507778
Vellozia glauca,-50.398611,-6.349722
Vellozia glauca,-50.194444,-6.091667
Vellozia glauca,-51.900556,-6.3925
Vellozia glauca,-51.159444,-6.503056
Vellozia glauca,-49.274444,-14.200278
Vellozia glauca,-48.939444,-15.72
Vellozia glauca,-42.882222,-16.356389
Vellozia glauca,-42.957222,-16.586944
Vellozia glauca,-42.961389,-16.546944
Vellozia glauca,-51.846944,-6.4225
Vellozia glauca,-51.156389,-6.564167
Vellozia glauca,-50.336111,-6.284444
Vellozia glauca,-42.883333,-16.548056
Vellozia glauca,-42.886389,-16.451111
Vellozia glauca,-50.336944,-6.283611
Vellozia glauca,-52.381389,-9.698889
Vellozia glauca,-48.960165,-15.710048
Vellozia glauca,-41.910556,-13.535
Vellozia glauca,-41.910556,-13.535
Vellozia glauca,-52.376944,-9.708611
