species,Longitude,Latitude
Vellozia glochidea,-47.5,-16.666667
Vellozia glochidea,-48,-17
Vellozia glochidea,-50.140278,-15.934444
Vellozia glochidea,-48,-17
Vellozia glochidea,-50.3,-6
Vellozia glochidea,-48.7761282,-15.7981192
Vellozia glochidea,-47.516667,-14.116667
Vellozia glochidea,-50.183333,-16.066667
Vellozia glochidea,-50.17,-8.05
Vellozia glochidea,-48.285,-15.959722
Vellozia glochidea,-50.433333,-5.916667
Vellozia glochidea,-50.433333,-5.916667
Vellozia glochidea,-49.1183323,-5.3720593
Vellozia glochidea,-47.566667,-9.683333
Vellozia glochidea,-48.283333,-13.816667
Vellozia glochidea,-48.066667,-14.133333
Vellozia glochidea,-48.4599043,-14.477892
Vellozia glochidea,-49.883333,-6.303889
Vellozia glochidea,-50.349444,-6.397222
Vellozia glochidea,-51.768611,-17.076944
Vellozia glochidea,-48.5725,-6.2025
Vellozia glochidea,-50.351667,-6.408611
Vellozia glochidea,-51.156389,-6.509167
Vellozia glochidea,-47.16,-9.9
Vellozia glochidea,-47.001389,-13.870278
Vellozia glochidea,-48.919319,-6.287361
Vellozia glochidea,-46.564444,-11.372222
Vellozia glochidea,-47.011111,-11.156111
Vellozia glochidea,-46.792222,-11.363611
Vellozia glochidea,-45.810556,-10.169722
