species,Longitude,Latitude
Vellozia goiasensis,-47.516667,-14.116667
Vellozia goiasensis,-47.3204289,-13.8736809
Vellozia goiasensis,-47.264722,-13.776389
Vellozia goiasensis,-47.293611,-13.854167
Vellozia goiasensis,-47.2936,-13.8542
Vellozia goiasensis,-48.14917,-13.83333
Vellozia goiasensis,-48.10278,-13.61861
Vellozia goiasensis,-46.456944,-10.45
Vellozia goiasensis,-46.506361,-10.575278
Vellozia goiasensis,-46.589722,-11.039722
Vellozia goiasensis,-47.431389,-13.929722
Vellozia goiasensis,-47.345833,-13.883056
