species,Longitude,Latitude
Vellozia graminea,-43.503492,-20.385614
Vellozia graminea,-43.5082859,-20.2916152
Vellozia graminea,-43.8,-20.2
Vellozia graminea,-43.8,-20.2
Vellozia graminea,-43.492778,-20.1263
Vellozia graminea,-43.842189,-20.225931
Vellozia graminea,-43.43,-20.29
Vellozia graminea,-44.13,-20.08
Vellozia graminea,-43.6918987,-20.5246191
Vellozia graminea,-44.13,-20.08
Vellozia graminea,-44.13,-20.08
Vellozia graminea,-43.357778,-19.8225
Vellozia graminea,-43.3785,-20.2996
Vellozia graminea,-43.3532,-20.28394
Vellozia graminea,-43.4154793,-19.9632094
Vellozia graminea,-43.5901,-20.0535
Vellozia graminea,-43.3123,-20.2745
Vellozia graminea,-43.50806,-20.4875
Vellozia graminea,-43.436361,-19.885556
Vellozia graminea,-43.37407,-20.30244
Vellozia graminea,-43.41515,-20.29168
Vellozia graminea,-44.059258,-20.118519
Vellozia graminea,-44.15355,-20.101853
Vellozia graminea,-44.003086,-20.079783
Vellozia graminea,-44.141975,-20.160572
Vellozia graminea,-43.969908,-20.374461
Vellozia graminea,-43.432222,-20.197222
Vellozia graminea,-43.681328,-20.237114
Vellozia graminea,-43.463333,-20.134444
Vellozia graminea,-43.520028,-20.439361
Vellozia graminea,-43.970386,-20.119969
Vellozia graminea,-43.972778,-20.136389
Vellozia graminea,-44.00675,-20.058333
Vellozia graminea,-43.990194,-20.798861
Vellozia graminea,-43.504444,-20.413889
Vellozia graminea,-43.415556,-20.159167
Vellozia graminea,-43.414444,-20.3525
Vellozia graminea,-43.669722,-19.9775
Vellozia graminea,-43.905833,-20.445833
Vellozia graminea,-43.905833,-20.445833
Vellozia graminea,-43.436667,-20.153611
Vellozia graminea,-44.429167,-20.400833
Vellozia graminea,-43.902778,-20.28
Vellozia graminea,-43.6325,-20.095
Vellozia graminea,-43.685833,-20.087222
Vellozia graminea,-43.965278,-20.2475
Vellozia graminea,-43.484444,-20.430278
Vellozia graminea,-43.3875,-20.265556
Vellozia graminea,-43.497861,-20.15
Vellozia graminea,-43.411389,-20.225833
Vellozia graminea,-43.497777,-20.15
Vellozia graminea,-43.676389,-20.030278
Vellozia graminea,-43.64125,-20.106389
Vellozia graminea,-44.030556,-20.060833
Vellozia graminea,-43.665278,-20.113333
Vellozia graminea,-43.405833,-20.165833
Vellozia graminea,-43.406111,-20.163611
Vellozia graminea,-43.575278,-20.206944
Vellozia graminea,-43.861111,-20.444167
