species,Longitude,Latitude
Vellozia graomogolensis,-43.2183,-16.40345
Vellozia graomogolensis,-42.8895409,-16.5631442
Vellozia graomogolensis,-43.3,-16.6
Vellozia graomogolensis,-42.91,-16.596667
Vellozia graomogolensis,-42.91,-17.096667
Vellozia graomogolensis,-42.933333,-16.616667
Vellozia graomogolensis,-42.55,-16.36
Vellozia graomogolensis,-42.8895409,-16.5631442
Vellozia graomogolensis,-42.568056,-16.594167
Vellozia graomogolensis,-42.914167,-16.592222
Vellozia graomogolensis,-42.898333,-16.582777
