species,Longitude,Latitude
Vellozia hemisphaerica,-41.1558252,-11.5539318
Vellozia hemisphaerica,-41.155833,-11.550278
Vellozia hemisphaerica,-41.03,-11.63
Vellozia hemisphaerica,-41.033333,-11.633333
Vellozia hemisphaerica,-41.95,-13.55
Vellozia hemisphaerica,-41.1558252,-11.5539318
Vellozia hemisphaerica,-40,-11
Vellozia hemisphaerica,-41.3815,-12.2704
Vellozia hemisphaerica,-41.9,-13.25
Vellozia hemisphaerica,-41.83,-13.13
Vellozia hemisphaerica,-41.477778,-12.456944
Vellozia hemisphaerica,-41.466667,-12.45
Vellozia hemisphaerica,-41.084444,-11.482778
Vellozia hemisphaerica,-41.477778,-12.460278
Vellozia hemisphaerica,-40.3029,-11.1122
Vellozia hemisphaerica,-40.448611,-10.900556
Vellozia hemisphaerica,-41.001944,-11.626667
Vellozia hemisphaerica,-41.4715,-13.1654
Vellozia hemisphaerica,-41.13,-13.23
Vellozia hemisphaerica,-41.001389,-11.625
Vellozia hemisphaerica,-41.559167,-13.6425
Vellozia hemisphaerica,-41.2306,-13.3503
Vellozia hemisphaerica,-41.146667,-11.558889
Vellozia hemisphaerica,-41.4554,-13.0904
Vellozia hemisphaerica,-41.903889,-13.034444
Vellozia hemisphaerica,-40.508889,-11.171111
Vellozia hemisphaerica,-41.2,-12.2
Vellozia hemisphaerica,-41.5329,-13.0254
Vellozia hemisphaerica,-41.099444,-11.600833
Vellozia hemisphaerica,-40.30371,-11.10168
Vellozia hemisphaerica,-41.338056,-11.490278
Vellozia hemisphaerica,-41.131111,-11.569167
Vellozia hemisphaerica,-41.866111,-13.045833
Vellozia hemisphaerica,-41.851944,-13.1025
Vellozia hemisphaerica,-41.466667,-13.683333
