species,Longitude,Latitude
Vellozia hirsuta,-42.8944,-16.56475
Vellozia hirsuta,-43.6557937,-18.449581
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-42.894167,-16.564722
Vellozia hirsuta,-42.894167,-16.564722
Vellozia hirsuta,-41.97,-15.131389
Vellozia hirsuta,-42.889722,-16.559444
Vellozia hirsuta,-43.7407994,-18.4581811
Vellozia hirsuta,-43.37,-18.1
Vellozia hirsuta,-43.6004898,-18.2531773
Vellozia hirsuta,-43.35,-18.35
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-43.3090692,-17.0684542
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-42.883333,-16.55
Vellozia hirsuta,-42.5436,-16.3548
Vellozia hirsuta,-43.333333,-17.066667
Vellozia hirsuta,-43.36,-18.11
Vellozia hirsuta,-43.7407994,-18.4581811
Vellozia hirsuta,-43.059444,-18.142222
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-42.8665386,-15.4009198
Vellozia hirsuta,-42.8665386,-15.4009198
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-43.3,-16.6
Vellozia hirsuta,-42.8895409,-16.5631442
Vellozia hirsuta,-43.308889,-17.064722
Vellozia hirsuta,-43.4,-17.016667
Vellozia hirsuta,-43.12,-16.67
Vellozia hirsuta,-41.21666,-11.58333
Vellozia hirsuta,-41.312778,-14.153611
Vellozia hirsuta,-42.3827,-15.0455
Vellozia hirsuta,-42.774167,-15.384167
Vellozia hirsuta,-43.08167,-17.24383
Vellozia hirsuta,-43.0107492,-16.8759505
Vellozia hirsuta,-43.0107492,-16.8759505
Vellozia hirsuta,-43.325,-18.60806
Vellozia hirsuta,-43.2216,-18.0837
Vellozia hirsuta,-42.899722,-16.55
Vellozia hirsuta,-43.345,-17.000444
Vellozia hirsuta,-43.340722,-17.015889
Vellozia hirsuta,-43.5725,-17.5344
Vellozia hirsuta,-42.5309,-16.3331
Vellozia hirsuta,-42.695533,-13.019773
Vellozia hirsuta,-42.698889,-13.02
Vellozia hirsuta,-43.738055,-18.292222
Vellozia hirsuta,-43.15,-18.13
Vellozia hirsuta,-42.5343,-16.3538
Vellozia hirsuta,-43.443055,-18.7975
Vellozia hirsuta,-43.784586,-18.965774
Vellozia hirsuta,-42.466667,-14.066667
Vellozia hirsuta,-42.466667,-14.066667
Vellozia hirsuta,-42.538333,-14.350833
Vellozia hirsuta,-42.538333,-14.350556
Vellozia hirsuta,-43.875833,-18.578056
Vellozia hirsuta,-43.591944,-18.572778
Vellozia hirsuta,-42.54109,-16.35385
Vellozia hirsuta,-42.54109,-16.35385
Vellozia hirsuta,-43.35308,-18.34217
Vellozia hirsuta,-43.53744,-16.96369
Vellozia hirsuta,-43.20509,-16.58197
Vellozia hirsuta,-43.336667,-17.007778
Vellozia hirsuta,-43.20405,-17.02046
Vellozia hirsuta,-43.015,-16.884722
Vellozia hirsuta,-42.59296,-16.53584
Vellozia hirsuta,-42.592778,-16.540833
Vellozia hirsuta,-43.059444,-16.765
Vellozia hirsuta,-42.906389,-16.596667
Vellozia hirsuta,-42.53485,-16.34496
Vellozia hirsuta,-42.9025,-16.591667
Vellozia hirsuta,-42.06225,-15.44506
Vellozia hirsuta,-41.58082,-15.08061
Vellozia hirsuta,-42.531389,-14.279167
Vellozia hirsuta,-42.775278,-15.386944
Vellozia hirsuta,-42.46314,-15.23133
Vellozia hirsuta,-44.195,-17.692778
Vellozia hirsuta,-43.751673,-18.925948
Vellozia hirsuta,-42.879722,-16.550833
Vellozia hirsuta,-42.568055,-16.594166
Vellozia hirsuta,-42.702778,-16.010611
Vellozia hirsuta,-44.1747,-17.4212
Vellozia hirsuta,-42.889167,-16.654722
Vellozia hirsuta,-42.515833,-14.897778
Vellozia hirsuta,-41.262222,-17.856389
Vellozia hirsuta,-41.262222,-17.856389
Vellozia hirsuta,-41.198611,-17.780556
Vellozia hirsuta,-44.010278,-17.946111
Vellozia hirsuta,-42.711944,-16.031667
Vellozia hirsuta,-43.596944,-18.218333
Vellozia hirsuta,-44.274167,-17.363333
Vellozia hirsuta,-42.898055,-16.556111
Vellozia hirsuta,-42.949722,-16.604722
Vellozia hirsuta,-42.957222,-16.586944
Vellozia hirsuta,-42.957222,-16.586944
Vellozia hirsuta,-46.523611,-20.300556
Vellozia hirsuta,-43.034444,-16.852778
Vellozia hirsuta,-43.626389,-18.196111
Vellozia hirsuta,-42.880611,-16.580194
