species,Longitude,Latitude
Vellozia intermedia,-43.583333,-19.166667
Vellozia intermedia,-42.8895409,-16.5631442
Vellozia intermedia,-43.6004898,-18.2531773
Vellozia intermedia,-43.45,-18.17
Vellozia intermedia,-44.15,-17.53
Vellozia intermedia,-44.25,-17.883333
Vellozia intermedia,-43.4418,-18.1742
Vellozia intermedia,-47.4401507,-19.8694006
Vellozia intermedia,-43.894722,-21.709167
Vellozia intermedia,-42.343333,-18.122333
Vellozia intermedia,-41.888889,-13.381944
Vellozia intermedia,-43.511667,-18.254444
Vellozia intermedia,-43.371306,-18.216111
Vellozia intermedia,-44.1423,-17.5529
Vellozia intermedia,-44.166389,-21.084722
Vellozia intermedia,-43.899444,-21.700556
Vellozia intermedia,-43.887444,-21.703694
Vellozia intermedia,-43.886967,-21.703081
Vellozia intermedia,-43.894172,-21.708908
Vellozia intermedia,-46.713333,-20.366389
Vellozia intermedia,-46.856036,-20.812208
Vellozia intermedia,-44.010278,-20.334722
Vellozia intermedia,-43.915833,-20.129722
Vellozia intermedia,-44.016111,-20.047778
