species,Longitude,Latitude
Vellozia jolyi,-41.327951,-12.799217
Vellozia jolyi,-41.316667,-12.8
Vellozia jolyi,-41.362762,-12.997403
Vellozia jolyi,-41.3706394,-13.0092667
Vellozia jolyi,-41.35,-12.983333
Vellozia jolyi,-41.327911,-12.939004
Vellozia jolyi,-41.327911,-12.939004
Vellozia jolyi,-41.333333,-12.95
Vellozia jolyi,-41.35,-12.983333
Vellozia jolyi,-41.45,-13.58
Vellozia jolyi,-41.2107,-12.5858
Vellozia jolyi,-41.48,-12.6
Vellozia jolyi,-41.383333,-13
Vellozia jolyi,-41.3706394,-13.0092667
Vellozia jolyi,-41.322096,-12.812887
Vellozia jolyi,-41.3706394,-13.0092667
Vellozia jolyi,-41.316667,-12.3
Vellozia jolyi,-41.26667,-12.95
Vellozia jolyi,-41.266667,-12.95
Vellozia jolyi,-41.320556,-12.957222
Vellozia jolyi,-41.2427,-12.57
Vellozia jolyi,-41.33,-12.8
Vellozia jolyi,-41.5,-12.85
Vellozia jolyi,-41.340833,-12.988333
Vellozia jolyi,-41.1915,-12.573
Vellozia jolyi,-41.478056,-12.601944
Vellozia jolyi,-41.2053,-13.075
Vellozia jolyi,-41.224,-13.0436
Vellozia jolyi,-41.45,-12.8
Vellozia jolyi,-41.5,-12.95
Vellozia jolyi,-41.1642,-12.5659
Vellozia jolyi,-41.341111,-12.804167
Vellozia jolyi,-41.372778,-13.013056
Vellozia jolyi,-41.370833,-13.005278
Vellozia jolyi,-41.344167,-12.8025
Vellozia jolyi,-41.374722,-13.006667
Vellozia jolyi,-41.370778,-13.001389
Vellozia jolyi,-41.333333,-12.7
Vellozia jolyi,-41.525833,-12.604722
Vellozia jolyi,-41.373056,-13.012778
Vellozia jolyi,-41.366667,-13
Vellozia jolyi,-41.62,-13.0225
Vellozia jolyi,-41.376667,-13.006944
Vellozia jolyi,-41.62,-13.0225
Vellozia jolyi,-41.310278,-12.854167
Vellozia jolyi,-41.341389,-12.994167
Vellozia jolyi,-41.299444,-12.973889
Vellozia jolyi,-41.299444,-12.973889
Vellozia jolyi,-41.669167,-13.0325
