species,Longitude,Latitude
Vellozia marcescens,-42.8895409,-16.5631442
Vellozia marcescens,-42.55,-16.32
Vellozia marcescens,-42.5748,-16.3542
Vellozia marcescens,-43.33,-17.07
Vellozia marcescens,-42.57,-16.35
Vellozia marcescens,-42.58,-16.36
Vellozia marcescens,-42.58,-16.35
Vellozia marcescens,-43.0107492,-16.8759505
Vellozia marcescens,-44.1541,-17.4453
Vellozia marcescens,-42.554,-16.4329
Vellozia marcescens,-42.54,-16.3304
Vellozia marcescens,-42.59296,-16.53584
Vellozia marcescens,-42.957222,-16.586944
Vellozia marcescens,-42.957222,-16.586944
Vellozia marcescens,-42.949444,-16.604167
Vellozia marcescens,-42.993333,-16.877778
Vellozia marcescens,-42.993333,-16.877778
Vellozia marcescens,-43.038055,-16.921389
Vellozia marcescens,-43.472222,-18.438055
Vellozia marcescens,-42.915611,-16.543889
Vellozia marcescens,-43.471944,-18.439167
