species,Longitude,Latitude
Vellozia maxillarioides,-42.8944,-16.56475
Vellozia maxillarioides,-42.8895409,-16.5631442
Vellozia maxillarioides,-42.908333,-16.566667
Vellozia maxillarioides,-42.5318,-16.3336
Vellozia maxillarioides,-43.3,-16.6
Vellozia maxillarioides,-43.3,-17.07
Vellozia maxillarioides,-43.5,-17
Vellozia maxillarioides,-43.3090692,-17.0684542
Vellozia maxillarioides,-42.899722,-16.55
Vellozia maxillarioides,-43.345,-17.000444
Vellozia maxillarioides,-43.340722,-17.015889
Vellozia maxillarioides,-42.993333,-16.877777
Vellozia maxillarioides,-42.911944,-16.544444
Vellozia maxillarioides,-42.883611,-16.548333
Vellozia maxillarioides,-42.878333,-16.535833
Vellozia maxillarioides,-43.035278,-16.8525
