species,Longitude,Latitude
Vellozia metzgerae,-43.82,-18.83
Vellozia metzgerae,-43.335278,-18.213861
Vellozia metzgerae,-43.723889,-18.283333
Vellozia metzgerae,-43.755227,-18.967377
Vellozia metzgerae,-43.74844,-18.918667
Vellozia metzgerae,-43.368636,-18.390286
Vellozia metzgerae,-43.460556,-18.476667
Vellozia metzgerae,-43.704722,-19.025
Vellozia metzgerae,-43.704722,-19.025
Vellozia metzgerae,-43.717222,-19.033056
Vellozia metzgerae,-43.717222,-19.033055
Vellozia metzgerae,-43.72,-19.025833
Vellozia metzgerae,-43.474456,-18.432803
Vellozia metzgerae,-43.488611,-18.471944
Vellozia metzgerae,-43.460556,-18.476944
Vellozia metzgerae,-43.3125,-18.232222
Vellozia metzgerae,-43.313333,-18.215833
Vellozia metzgerae,-43.313333,-18.215833
Vellozia metzgerae,-43.449722,-18.461389
