species,Longitude,Latitude
Vellozia minima,-43.744901,-19.5174009
Vellozia minima,-43.6004898,-18.2531773
Vellozia minima,-43.6004898,-18.2531773
Vellozia minima,-43.7,-18.38
Vellozia minima,-43.7,-18.27
Vellozia minima,-43.7833,-18.0833
Vellozia minima,-43.6004898,-18.2531773
Vellozia minima,-43.37,-18.1
Vellozia minima,-43.37,-18.1
Vellozia minima,-43.37,-18.1
Vellozia minima,-43.916667,-18.516667
Vellozia minima,-43.716667,-18.15
Vellozia minima,-43.43,-18.09
Vellozia minima,-43.766667,-18.866667
Vellozia minima,-43.816667,-18.833333
Vellozia minima,-43.0093503,-18.2973787
Vellozia minima,-43.0093503,-18.2973787
Vellozia minima,-43.883333,-18.3
Vellozia minima,-43.36,-18.56
Vellozia minima,-43.6,-18.183333
Vellozia minima,-43.33,-18.2
Vellozia minima,-43.3793754,-18.6084843
Vellozia minima,-43.4,-18.15
Vellozia minima,-43.6,-18.233333
Vellozia minima,-43.705,-18.182222
Vellozia minima,-43.2216,-18.0837
Vellozia minima,-43.6004898,-18.2531773
Vellozia minima,-43.4,-19.07
Vellozia minima,-43.3657,-18.0926
Vellozia minima,-43.623056,-18.188611
Vellozia minima,-43.4509,-18.4839
Vellozia minima,-44.1541,-17.4453
Vellozia minima,-43.5725,-17.5344
Vellozia minima,-43.506944,-19.231944
Vellozia minima,-43.138056,-18.115278
Vellozia minima,-43.4515,-18.48265
Vellozia minima,-43.763056,-19
Vellozia minima,-43.501667,-19.223056
Vellozia minima,-43.716389,-18.160833
Vellozia minima,-43.789956,-18.924056
Vellozia minima,-43.76023,-18.939348
Vellozia minima,-43.794167,-18.926667
Vellozia minima,-43.2601,-18.5338
Vellozia minima,-43.461944,-20.105555
Vellozia minima,-43.431667,-18.907222
Vellozia minima,-43.391111,-19.016389
Vellozia minima,-43.475011,-18.432797
Vellozia minima,-43.430278,-18.913056
Vellozia minima,-43.710278,-19.040278
Vellozia minima,-43.628056,-18.191944
Vellozia minima,-43.628056,-18.191944
Vellozia minima,-43.621944,-19.048611
Vellozia minima,-43.434167,-18.891944
Vellozia minima,-43.913611,-18.523333
Vellozia minima,-43.370556,-18.145555
Vellozia minima,-43.915,-18.523889
Vellozia minima,-43.477778,-18.924444
Vellozia minima,-43.784167,-17.958333
Vellozia minima,-43.305,-19.400556
Vellozia minima,-43.645,-19.094444
Vellozia minima,-43.381389,-18.3875
Vellozia minima,-43.844444,-18.293889
Vellozia minima,-43.554444,-19.105278
Vellozia minima,-43.58,-19.1025
Vellozia minima,-43.605278,-19.419167
Vellozia minima,-43.609722,-19.419722
Vellozia minima,-43.775833,-17.808055
Vellozia minima,-43.472222,-18.438055
Vellozia minima,-43.588694,-20.45625
Vellozia minima,-43.666111,-20.110555
Vellozia minima,-43.506667,-19.234167
Vellozia minima,-43.464444,-18.483611
Vellozia minima,-43.938611,-17.914167
Vellozia minima,-43.533889,-19.260556
Vellozia minima,-43.655556,-18.986389
Vellozia minima,-43.536389,-19.264444
