species,Longitude,Latitude
Vellozia patens,-43.4,-18.87
Vellozia patens,-43.7833,-18.0833
Vellozia patens,-43.506944,-19.231944
Vellozia patens,-43.3303,-19.15265
Vellozia patens,-43.743561,-18.922936
Vellozia patens,-43.704722,-19.025
Vellozia patens,-43.510278,-19.247222
Vellozia patens,-43.518889,-19.247222
Vellozia patens,-43.550833,-19.2575
Vellozia patens,-43.615556,-19.0025
Vellozia patens,-43.560277,-19.287777
Vellozia patens,-43.571389,-19.103611
Vellozia patens,-43.780833,-17.791944
Vellozia patens,-43.619444,-19.100556
Vellozia patens,-43.566944,-19.119444
Vellozia patens,-43.559444,-19.277222
