species,Longitude,Latitude
Vellozia plicata,-39.85,-12.8667
Vellozia plicata,-44.53,-14.18
Vellozia plicata,-42.5,-11.4
Vellozia plicata,-39.8667,-12.9
Vellozia plicata,-42.5,-11.42
Vellozia plicata,-42.6833,-11.2667
Vellozia plicata,-40.7664,-17.7033
Vellozia plicata,-42.7514,-8.70981
Vellozia plicata,-40.6814,-19.8056
Vellozia plicata,-43.1785,-22.5089
Vellozia plicata,-40.85,-19.65
Vellozia plicata,-41.8,-16.63
Vellozia plicata,-42.0667,-20.7333
Vellozia plicata,-40.6819,-19.4036
Vellozia plicata,-42,-13.5167
Vellozia plicata,-40.85,-19.65
Vellozia plicata,-44.3667,-15.4833
Vellozia plicata,-41.8833,-13.2667
Vellozia plicata,-41.2167,-13.4167
Vellozia plicata,-42.7333,-11.0833
Vellozia plicata,-42.2,-20.7667
Vellozia plicata,-40.3044,-20.2767
Vellozia plicata,-42.0167,-20.7167
Vellozia plicata,-39.7667,-12.7
Vellozia plicata,-42.7228,-11.1058
Vellozia plicata,-42.7178,-19.6831
Vellozia plicata,-43.1375,-13.4622
Vellozia plicata,-40.6814,-19.8056
Vellozia plicata,-41.8498,-18.5204
Vellozia plicata,-36.7594,-7.51417
Vellozia plicata,-36.665,-7.48333
Vellozia plicata,-36.665,-7.48333
Vellozia plicata,-38.0561,-7.82283
Vellozia plicata,-36.8897,-7.47639
Vellozia plicata,-36.8975,-7.47083
Vellozia plicata,-40.7394,-19.7608
Vellozia plicata,-42.95,-21.4167
Vellozia plicata,-40.6875,-19.7572
Vellozia plicata,-39.9703,-12.8403
Vellozia plicata,-39.0831,-10.9222
Vellozia plicata,-36.738,-8.39227
Vellozia plicata,-40.6019,-19.9061
Vellozia plicata,-36.665,-7.48333
Vellozia plicata,-42.3014,-21.5644
Vellozia plicata,-40.6656,-18.9778
Vellozia plicata,-40.6814,-19.8056
Vellozia plicata,-40.6656,-18.9778
Vellozia plicata,-40.6478,-19.0231
Vellozia plicata,-40.7986,-18.9442
Vellozia plicata,-41.2097,-21.3403
Vellozia plicata,-44.5497,-9.83806
Vellozia plicata,-42.0175,-21.9675
Vellozia plicata,-41.4481,-21.7972
Vellozia plicata,-40.6625,-18.985
Vellozia plicata,-42.2103,-13.4561
Vellozia plicata,-40.7575,-19.7708
Vellozia plicata,-40.7761,-18.9875
Vellozia plicata,-41.2456,-10.2297
Vellozia plicata,-35.8938,-7.46936
Vellozia plicata,-40.9853,-18.5693
Vellozia plicata,-43.0738,-15.1843
Vellozia plicata,-40.1897,-18.905
Vellozia plicata,-40.8389,-19.4914
Vellozia plicata,-40.6792,-19.3972
Vellozia plicata,-39.4791,-8.12633
Vellozia plicata,-37.2284,-7.87653
Vellozia plicata,-36.7667,-8.13333
Vellozia plicata,-38.0555,-7.82272
Vellozia plicata,-36.8901,-7.47625
Vellozia plicata,-41.4481,-21.7972
Vellozia plicata,-36.8901,-7.47625
Vellozia plicata,-40.6917,-13.7039
Vellozia plicata,-39.1874,-8.41553
Vellozia plicata,-39.2165,-8.303
Vellozia plicata,-39.3398,-10.4376
Vellozia plicata,-40.7397,-19.8269
Vellozia plicata,-40.1998,-18.8867
Vellozia plicata,-40.6139,-19.8422
Vellozia plicata,-40.6139,-19.8422
Vellozia plicata,-41.2608,-17.8561
Vellozia plicata,-40.8594,-19.6386
Vellozia plicata,-41.4481,-21.7972
Vellozia plicata,-43.4894,-9.22008
Vellozia plicata,-41.2609,-17.856
Vellozia plicata,-41.2609,-17.856
Vellozia plicata,-37.3146,-6.97708
Vellozia plicata,-41.0886,-18.8994
Vellozia plicata,-42.9086,-12.3397
Vellozia plicata,-39.8542,-12.8697
Vellozia plicata,-36.9446,-8.50339
Vellozia plicata,-42.4258,-22.0722
Vellozia plicata,-39.2639,-8.745
Vellozia plicata,-38.9583,-8.28694
Vellozia plicata,-40.9958,-18.5719
Vellozia plicata,-43.3472,-22.4106
Vellozia plicata,-43.2405,-19.5486
Vellozia plicata,-37.8222,-7.91611
Vellozia plicata,-38.7853,-9.08333
Vellozia plicata,-38.4672,-8.66111
Vellozia plicata,-41.1725,-19.6186
Vellozia plicata,-41.6544,-21.7606
Vellozia plicata,-41.4775,-20.3758
Vellozia plicata,-40.9161,-20.1753
Vellozia plicata,-41.1986,-17.7806
Vellozia plicata,-40.8767,-19.2311
Vellozia plicata,-40.8064,-19.2389
Vellozia plicata,-43.7576,-14.8842
Vellozia plicata,-40.5536,-18.6533
Vellozia plicata,-40.5536,-18.6533
Vellozia plicata,-40.4689,-18.8039
Vellozia plicata,-40.995,-17.8633
Vellozia plicata,-40.9958,-17.8275
Vellozia plicata,-40.9958,-17.8275
Vellozia plicata,-40.1253,-17.8664
Vellozia plicata,-41.2169,-17.9783
Vellozia plicata,-41.6489,-21.7531
Vellozia plicata,-41.635,-21.7417
Vellozia plicata,-41.4572,-21.7883
Vellozia plicata,-39.5217,-12.7692
Vellozia plicata,-40.3011,-20.3003
Vellozia plicata,-40.3014,-20.3011
Vellozia plicata,-43.2447,-22.4306
Vellozia plicata,-40.6981,-18.9886
Vellozia plicata,-41.1969,-17.8613
Vellozia plicata,-41.8647,-21.8333
Vellozia plicata,-43.2903,-22.4203
Vellozia plicata,-42.7281,-8.88133
Vellozia plicata,-40.4042,-17.7953
Vellozia plicata,-40.3667,-17.6569
Vellozia plicata,-41.1544,-17.7192
Vellozia plicata,-41.2775,-17.9061
Vellozia plicata,-36.9597,-8.49972
Vellozia plicata,-41.0936,-19.4275
Vellozia plicata,-38.3236,-8.11695
Vellozia plicata,-42.8731,-22.1542
Vellozia plicata,-42.5531,-22.2622
Vellozia plicata,-37.2008,-8.40111
Vellozia plicata,-37.3442,-7.95139
