species,Longitude,Latitude
Vellozia pulchra,-41.514097,-17.852113
Vellozia pulchra,-41.2,-16.133333
Vellozia pulchra,-40.820556,-19.237222
Vellozia pulchra,-40.739444,-19.760833
Vellozia pulchra,-40.525278,-19.310833
Vellozia pulchra,-40.558611,-19.348056
Vellozia pulchra,-40.558611,-19.339167
Vellozia pulchra,-40.798611,-18.944167
Vellozia pulchra,-40.558611,-19.343611
Vellozia pulchra,-41.286389,-16.011667
Vellozia pulchra,-40.554722,-19.341111
Vellozia pulchra,-41.122333,-18.423833
Vellozia pulchra,-41.124556,-18.496833
Vellozia pulchra,-40.648361,-19.270139
Vellozia pulchra,-40.748611,-18.292778
Vellozia pulchra,-41.276944,-17.905556
Vellozia pulchra,-41.260833,-17.856111
Vellozia pulchra,-40.614,-19.842361
Vellozia pulchra,-40.985278,-18.569722
Vellozia pulchra,-41.262222,-17.856389
Vellozia pulchra,-41.262222,-17.856389
Vellozia pulchra,-40.995833,-17.8275
Vellozia pulchra,-41.216944,-17.978333
Vellozia pulchra,-41.2775,-17.906111
