species,Longitude,Latitude
Vellozia pumila,-48.05,-16.03
Vellozia pumila,-47.74305,-15.7797
Vellozia pumila,-47.595278,-14.04001
Vellozia pumila,-48.063889,-16.017222
Vellozia pumila,-48.8091305,-15.8279097
Vellozia pumila,-47.795,-15.909167
Vellozia pumila,-47.8,-14.15
Vellozia pumila,-47.890278,-15.893611
Vellozia pumila,-47.745,-15.926389
Vellozia pumila,-47.966667,-15.616667
Vellozia pumila,-47.966667,-15.616667
Vellozia pumila,-47.9,-15.583333
Vellozia pumila,-47.9,-15.58
Vellozia pumila,-47.264722,-13.776389
Vellozia pumila,-47.896111,-15.915
Vellozia pumila,-47.883333,-15.9
Vellozia pumila,-47.896389,-15.924167
Vellozia pumila,-47.8975,-15.925278
Vellozia pumila,-47.933333,-15.883333
Vellozia pumila,-48.46667,-17.61667
Vellozia pumila,-47.637778,-14.066389
Vellozia pumila,-47.637778,-14.066389
Vellozia pumila,-47.616667,-14.166667
Vellozia pumila,-47.433333,-14.116666
Vellozia pumila,-47.738056,-14.043056
Vellozia pumila,-47.790833,-14.161111
Vellozia pumila,-47.768889,-14.138889
Vellozia pumila,-48.45,-14.496111
Vellozia pumila,-48.439722,-14.646667
Vellozia pumila,-48.423333,-14.698333
Vellozia pumila,-48.423333,-14.698333
Vellozia pumila,-48.423333,-14.698333
Vellozia pumila,-47.509167,-14.039167
Vellozia pumila,-47.509167,-14.0725
Vellozia pumila,-47.509167,-14.0725
Vellozia pumila,-47.509167,-14.0725
Vellozia pumila,-47.466667,-15.839167
Vellozia pumila,-47.85,-15.866667
Vellozia pumila,-47.85,-15.866667
Vellozia pumila,-48.000556,-15.8975
Vellozia pumila,-48.896111,-15.726667
Vellozia pumila,-47.411111,-14.074444
Vellozia pumila,-47.415556,-16.441667
Vellozia pumila,-48.698333,-15.823333
Vellozia pumila,-47.686111,-16.732222
Vellozia pumila,-48.152222,-14.287222
Vellozia pumila,-48.918333,-15.834722
Vellozia pumila,-47.526389,-14.015
Vellozia pumila,-48.960833,-15.708333
Vellozia pumila,-47.02,-13.725833
Vellozia pumila,-47.000556,-13.829444
Vellozia pumila,-47.900556,-14.226389
Vellozia pumila,-47.893611,-14.228333
Vellozia pumila,-47.754583,-15.625556
