species,Longitude,Latitude
Vellozia punctulata,-41.333333,-10.366667
Vellozia punctulata,-41.333333,-12.95
Vellozia punctulata,-41.350604,-12.991537
Vellozia punctulata,-40.5180838,-11.1844226
Vellozia punctulata,-41.5589516,-12.5328554
Vellozia punctulata,-41.35,-12.983333
Vellozia punctulata,-41.35,-12.983333
Vellozia punctulata,-41.519444,-12.438889
Vellozia punctulata,-41.3897406,-12.5669562
Vellozia punctulata,-41.45,-12.45
Vellozia punctulata,-40.494444,-11.1725
Vellozia punctulata,-41.340858,-12.803929
Vellozia punctulata,-41.3897406,-12.5669562
Vellozia punctulata,-40.51667,-11.18333
Vellozia punctulata,-41.466667,-12.45
Vellozia punctulata,-41.3897406,-12.5669562
Vellozia punctulata,-41.95,-13.533333
Vellozia punctulata,-41.366667,-12.466667
Vellozia punctulata,-40.31,-11.1
Vellozia punctulata,-41.440278,-12.459722
Vellozia punctulata,-41.45,-12.456944
Vellozia punctulata,-40.809167,-11.154167
Vellozia punctulata,-41.35,-12.983333
Vellozia punctulata,-41.2466,-12.3334
Vellozia punctulata,-40.483333,-11.3
Vellozia punctulata,-40.3029,-11.1122
Vellozia punctulata,-40.507222,-11.195833
Vellozia punctulata,-41.28,-12.27
Vellozia punctulata,-41.371944,-13.001389
Vellozia punctulata,-41.2032,-12.5829
Vellozia punctulata,-40.508889,-11.171111
Vellozia punctulata,-41.2335,-12.3548
Vellozia punctulata,-41.233,-12.359
Vellozia punctulata,-40.344119,-10.717111
Vellozia punctulata,-41.15,-11.551111
Vellozia punctulata,-41.5,-12.95
Vellozia punctulata,-41.001389,-11.635833
Vellozia punctulata,-40.249972,-10.257528
Vellozia punctulata,-41.1642,-12.5659
Vellozia punctulata,-41.00004,-11.37416
Vellozia punctulata,-41.3,-12.683333
Vellozia punctulata,-41.20355,-12.58399
Vellozia punctulata,-41.344444,-12.801667
Vellozia punctulata,-40.3714,-10.654461
Vellozia punctulata,-40.3714,-10.654461
Vellozia punctulata,-41.482222,-10.330138
Vellozia punctulata,-41.2112,-12.59354
Vellozia punctulata,-41.2112,-12.59354
Vellozia punctulata,-41.2112,-12.59354
Vellozia punctulata,-41.2112,-12.59354
Vellozia punctulata,-41.669167,-13.0325
