species,Longitude,Latitude
Vellozia resinosa,-43.896944,-18.536389
Vellozia resinosa,-43.52,-18.6
Vellozia resinosa,-43.73495,-18.44245
Vellozia resinosa,-43.7407994,-18.4581811
Vellozia resinosa,-43.391944,-18.43185
Vellozia resinosa,-43.7117,-18.4
Vellozia resinosa,-43.7407994,-18.4581811
Vellozia resinosa,-43.7407994,-18.4581811
Vellozia resinosa,-43.548872,-19.278562
Vellozia resinosa,-43.713889,-18.270556
Vellozia resinosa,-43.6004898,-18.2531773
Vellozia resinosa,-43.6004898,-18.2531773
Vellozia resinosa,-43.9,-18.916667
Vellozia resinosa,-43.9,-18.916667
Vellozia resinosa,-43.916667,-18.516667
Vellozia resinosa,-43.6004898,-18.2531773
Vellozia resinosa,-43.566667,-19.3
Vellozia resinosa,-43.3109,-18.1658
Vellozia resinosa,-43.501667,-18.175556
Vellozia resinosa,-43.57033,-18.66111
Vellozia resinosa,-43.983333,-20.016667
Vellozia resinosa,-43.595833,-19.290556
Vellozia resinosa,-43.2031,-18.053
Vellozia resinosa,-43.370556,-18.145833
Vellozia resinosa,-43.369467,-18.198903
Vellozia resinosa,-43.2023,-18.1357
Vellozia resinosa,-43.431667,-18.2975
Vellozia resinosa,-43.324722,-18.398055
Vellozia resinosa,-43.789205,-18.908396
Vellozia resinosa,-43.789167,-18.908333
Vellozia resinosa,-43.789205,-18.908396
Vellozia resinosa,-43.626667,-18.19
Vellozia resinosa,-43.728611,-19.0425
Vellozia resinosa,-43.55,-18.266667
Vellozia resinosa,-43.873333,-18.598055
Vellozia resinosa,-43.736944,-18.294167
Vellozia resinosa,-43.288022,-19.404669
Vellozia resinosa,-43.306519,-19.411436
Vellozia resinosa,-43.706944,-19.066111
Vellozia resinosa,-43.754444,-18.292222
Vellozia resinosa,-43.369167,-18.112778
Vellozia resinosa,-43.910833,-19.263889
Vellozia resinosa,-41.557222,-19.3375
Vellozia resinosa,-41.564722,-19.298333
Vellozia resinosa,-43.464444,-18.483611
Vellozia resinosa,-41.378333,-19.272222
Vellozia resinosa,-43.762777,-18.312222
Vellozia resinosa,-43.724444,-18.806667
Vellozia resinosa,-43.4275,-18.517778
