species,Longitude,Latitude
Vellozia sellowii,-43.726389,-19.83305
Vellozia sellowii,-43.666667,-19.816667
Vellozia sellowii,-43.666667,-19.816667
Vellozia sellowii,-43.666667,-19.816667
Vellozia sellowii,-43.4,-20.4
Vellozia sellowii,-43.671944,-19.823889
Vellozia sellowii,-44.572453,-20.590122
Vellozia sellowii,-44.606019,-20.203858
Vellozia sellowii,-43.463333,-20.134444
Vellozia sellowii,-43.58196,-20.20072
Vellozia sellowii,-43.461944,-20.1625
Vellozia sellowii,-43.965278,-20.2475
Vellozia sellowii,-43.380556,-19.848333
Vellozia sellowii,-43.6775,-19.821667
