species,Longitude,Latitude
Vellozia seubertiana,-47.22,-13.27
Vellozia seubertiana,-41.783333,-13.55
Vellozia seubertiana,-41.21,-12.59
Vellozia seubertiana,-41.2,-12.57
Vellozia seubertiana,-41.327911,-12.939004
Vellozia seubertiana,-41.33,-12.8
Vellozia seubertiana,-41.333333,-12.966667
Vellozia seubertiana,-41.2107,-12.5858
Vellozia seubertiana,-54.1,-16.783333
Vellozia seubertiana,-41.466667,-12.45
Vellozia seubertiana,-41.466667,-12.45
Vellozia seubertiana,-41.212,-12.5927
Vellozia seubertiana,-55.916111,-9.578889
Vellozia seubertiana,-55.915555,-9.578055
Vellozia seubertiana,-55.191944,-9.584167
Vellozia seubertiana,-55.229444,-9.069167
Vellozia seubertiana,-41.3,-13.583333
Vellozia seubertiana,-52.370278,-9.728333
Vellozia seubertiana,-46.142,-10.630639
Vellozia seubertiana,-55.720011,-15.432781
Vellozia seubertiana,-46.846389,-11.191389
Vellozia seubertiana,-47.26,-11.432778
Vellozia seubertiana,-47.552222,-11.799444
Vellozia seubertiana,-41.286111,-13.680556
Vellozia seubertiana,-47.008611,-11.179722
Vellozia seubertiana,-55.459444,-9.508889
Vellozia seubertiana,-55.455556,-9.504167
Vellozia seubertiana,-53.31,-18.2344
