species,Longitude,Latitude
Vellozia sincorana,-41.333333,-12.95
Vellozia sincorana,-41.96666,-13.51666
Vellozia sincorana,-42,-13.31
Vellozia sincorana,-41.95,-13.53333
Vellozia sincorana,-41.966667,-13.516667
Vellozia sincorana,-41.88,-13.3
Vellozia sincorana,-41.95,-13.533333
Vellozia sincorana,-41.25,-13.533333
Vellozia sincorana,-41.87,-13.33
Vellozia sincorana,-41.883333,-13.366667
Vellozia sincorana,-41.1401,-13.2417
Vellozia sincorana,-42,-13.516667
Vellozia sincorana,-41.2075,-11.590833
Vellozia sincorana,-41.483333,-12.516667
Vellozia sincorana,-40.993889,-11.630833
Vellozia sincorana,-42.083333,-13.035186
Vellozia sincorana,-41.523056,-12.685555
Vellozia sincorana,-41.618519,-13.201853
Vellozia sincorana,-41.366667,-13.116667
Vellozia sincorana,-41.486389,-12.599722
Vellozia sincorana,-41.24739,-12.5932
Vellozia sincorana,-41.24739,-12.5932
Vellozia sincorana,-41.22013,-13.00573
Vellozia sincorana,-41.22013,-13.00573
Vellozia sincorana,-41.22013,-13.00573
Vellozia sincorana,-41.000556,-11.624444
