species,Longitude,Latitude
Vellozia squamata,-48.0638,-16.01719
Vellozia squamata,-47.82,-15.65
Vellozia squamata,-48.133333,-16
Vellozia squamata,-47.75172,-15.62355
Vellozia squamata,-47.595278,-14.04001
Vellozia squamata,-47.816667,-15.633333
Vellozia squamata,-47,-14
Vellozia squamata,-47,-14
Vellozia squamata,-47.70192,-14.1167
Vellozia squamata,-48,-17
Vellozia squamata,-48.05,-16.03
Vellozia squamata,-47.8167,-15.66041
Vellozia squamata,-47.613611,-16.768611
Vellozia squamata,-47.334444,-15.537222
Vellozia squamata,-48.95,-15.88
Vellozia squamata,-48.52,-8.92
Vellozia squamata,-43.7,-18.27
Vellozia squamata,-47.5167,-14.29747
Vellozia squamata,-47.56238,-17.79616
Vellozia squamata,-47.78405,-15.79765
Vellozia squamata,-47.316667,-15.483333
Vellozia squamata,-47.316667,-15.483333
Vellozia squamata,-47.524722,-14.705556
Vellozia squamata,-47.524722,-14.705556
Vellozia squamata,-47.5167,-13.89074
Vellozia squamata,-44.99,-12.15
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-47.497642,-14.6836984
Vellozia squamata,-55.778333,-15.431944
Vellozia squamata,-47.5101417,-14.1361864
Vellozia squamata,-47.916667,-15.95
Vellozia squamata,-47.876389,-15.930278
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-48,-15.716667
Vellozia squamata,-47.70833,-15.59167
Vellozia squamata,-47.708333,-15.591667
Vellozia squamata,-47.70833,-15.59167
Vellozia squamata,-47.916667,-15.983333
Vellozia squamata,-47.857222,-16.020556
Vellozia squamata,-47.833333,-15.883333
Vellozia squamata,-47.933333,-15.95
Vellozia squamata,-47.57,-15.57
Vellozia squamata,-47.770278,-15.797222
Vellozia squamata,-47.881944,-15.950278
Vellozia squamata,-47.916667,-15.95
Vellozia squamata,-48.033333,-15.566667
Vellozia squamata,-48.133333,-15.6
Vellozia squamata,-47.930556,-15.608333
Vellozia squamata,-47.5625,-15.4375
Vellozia squamata,-47.9,-15.666667
Vellozia squamata,-47.966667,-16.033333
Vellozia squamata,-47.883333,-15.945833
Vellozia squamata,-47.883889,-15.946389
Vellozia squamata,-47.916667,-15.95
Vellozia squamata,-47.916667,-15.95
Vellozia squamata,-47.633333,-16.716666
Vellozia squamata,-47.916667,-15.95
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-45.95,-15.583333
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-47.871944,-15.950278
Vellozia squamata,-47.876389,-15.952778
Vellozia squamata,-47.876389,-15.945833
Vellozia squamata,-47.2648251,-13.7803789
Vellozia squamata,-45.783333,-15.15
Vellozia squamata,-47.898611,-15.965
Vellozia squamata,-47.890278,-15.919722
Vellozia squamata,-47.56,-15.53
Vellozia squamata,-47.373889,-13.9125
Vellozia squamata,-47.542222,-14.155278
Vellozia squamata,-47.546389,-14.155278
Vellozia squamata,-48.33333,-15.66667
Vellozia squamata,-48.333333,-15.666667
Vellozia squamata,-48.2,-13.666667
Vellozia squamata,-48.066667,-14.133333
Vellozia squamata,-48.383333,-13.466667
Vellozia squamata,-48.1,-15.66667
Vellozia squamata,-48.36667,-14.08333
Vellozia squamata,-47.8,-15.833333
Vellozia squamata,-48.18333,-15.61667
Vellozia squamata,-48.56667,-14.23333
Vellozia squamata,-48.31667,-14.03333
Vellozia squamata,-48.51667,-17.8
Vellozia squamata,-47.521517,-14.133556
Vellozia squamata,-48.216667,-10.283333
Vellozia squamata,-47.85,-15.866667
Vellozia squamata,-48.016666,-15.916666
Vellozia squamata,-48.25,-9.75
Vellozia squamata,-47.45,-14.133333
Vellozia squamata,-48.398333,-14.336667
Vellozia squamata,-47.833333,-15.866667
Vellozia squamata,-48.188056,-13.5975
Vellozia squamata,-48.183333,-13.966667
Vellozia squamata,-48.45,-14.496111
Vellozia squamata,-48.05,-15.86667
Vellozia squamata,-48.16667,-15.63333
Vellozia squamata,-48.05,-15.86667
Vellozia squamata,-48.436944,-14.390556
Vellozia squamata,-47.666667,-16.75
Vellozia squamata,-47.793333,-14.188889
Vellozia squamata,-47.85,-15.866667
Vellozia squamata,-47.636111,-14.171389
Vellozia squamata,-47.516667,-14.116667
Vellozia squamata,-48.431389,-14.654722
Vellozia squamata,-45.948333,-15.333611
Vellozia squamata,-45.7625,-15.325556
Vellozia squamata,-47.583333,-15.583333
Vellozia squamata,-47.85,-15.866667
Vellozia squamata,-48.3775,-9.989167
Vellozia squamata,-48.016667,-15.916667
Vellozia squamata,-55.783333,-15.383333
Vellozia squamata,-48,-15.86667
Vellozia squamata,-47.85,-15.866667
Vellozia squamata,-47.64,-16.729722
Vellozia squamata,-47.876389,-15.929444
Vellozia squamata,-48.18111,-13.78194
Vellozia squamata,-46.133333,-10.55
Vellozia squamata,-45.876389,-14.963333
Vellozia squamata,-48.13694,-13.39528
Vellozia squamata,-47.306389,-14.044167
Vellozia squamata,-47.359722,-14.098889
Vellozia squamata,-48.18889,-13.61528
Vellozia squamata,-47.86278,-13.68139
Vellozia squamata,-48.05028,-13.3775
Vellozia squamata,-46.456944,-10.45
Vellozia squamata,-46.448333,-20.216389
Vellozia squamata,-47.816667,-15.866667
Vellozia squamata,-47.883333,-15.583333
Vellozia squamata,-47.4425,-15.3925
Vellozia squamata,-47.963889,-15.913333
Vellozia squamata,-47.911667,-15.916667
Vellozia squamata,-48.016667,-15.883333
