species,Longitude,Latitude
Vellozia stellata,-41.3,-13.583333
Vellozia stellata,-41.1821,-13.4037
Vellozia stellata,-41.25,-13.4
Vellozia stellata,-41.16,-13.42
Vellozia stellata,-41.95,-13.53333
Vellozia stellata,-41.983334,-13.5
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.5,-13.13
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.53,-13.16
Vellozia stellata,-41.48,-13.17
Vellozia stellata,-41.54,-13.16
Vellozia stellata,-41.47,-13.08
Vellozia stellata,-41.783333,-13.25
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.51,-13.18
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.47,-13.16
Vellozia stellata,-41.44,-13.16
Vellozia stellata,-41.51,-13.19
Vellozia stellata,-41.51,-13.23
Vellozia stellata,-41.47,-13.22
Vellozia stellata,-41.5,-13.19
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.51,-13.2
Vellozia stellata,-41.85,-13.3
Vellozia stellata,-41.52,-13.18
Vellozia stellata,-41.51,-13.18
Vellozia stellata,-41.52,-13.19
Vellozia stellata,-41.52,-13.16
Vellozia stellata,-41.833333,-13.033333
