species,Longitude,Latitude
Vellozia stenocarpa,-42.98155,-16.6439
Vellozia stenocarpa,-44.13,-17.57
Vellozia stenocarpa,-44.13,-17.57
Vellozia stenocarpa,-44.233333,-17.7
Vellozia stenocarpa,-44.191667,-17.708056
Vellozia stenocarpa,-44.113056,-17.422778
Vellozia stenocarpa,-44.17,-17.43
Vellozia stenocarpa,-44.193611,-17.693611
Vellozia stenocarpa,-43.032778,-16.853611
Vellozia stenocarpa,-44.1137,-17.4223
Vellozia stenocarpa,-43.013056,-16.916667
Vellozia stenocarpa,-42.991944,-16.896667
Vellozia stenocarpa,-44.195,-17.706389
