species,Longitude,Latitude
Vellozia subscabra,-44.168889,-21.095556
Vellozia subscabra,-41.05,-16.36667
Vellozia subscabra,-44.1615,-17.4157
Vellozia subscabra,-43.032778,-16.853611
Vellozia subscabra,-42.899722,-16.5975
Vellozia subscabra,-40.570403,-16.194134
Vellozia subscabra,-43.626667,-18.19
Vellozia subscabra,-43.905,-18.308611
Vellozia subscabra,-43.600277,-18.249444
Vellozia subscabra,-43.552778,-18.355
Vellozia subscabra,-43.475278,-18.432778
Vellozia subscabra,-44.329178,-21.175844
Vellozia subscabra,-44.499297,-21.230303
Vellozia subscabra,-44.50625,-21.247589
Vellozia subscabra,-44.502575,-21.223847
Vellozia subscabra,-42.910278,-16.498333
Vellozia subscabra,-42.957222,-16.586944
Vellozia subscabra,-44.467031,-21.224994
Vellozia subscabra,-43.741944,-18.303611
