species,Longitude,Latitude
Vellozia tragacantha,-43.492778,-20.1263
Vellozia tragacantha,-43.492778,-20.1263
Vellozia tragacantha,-43.7407994,-18.4581811
Vellozia tragacantha,-43.7407994,-18.4581811
Vellozia tragacantha,-43.500556,-20.132222
Vellozia tragacantha,-43.436136,-19.885556
Vellozia tragacantha,-43.43645,-19.885567
Vellozia tragacantha,-43.526944,-20.093333
Vellozia tragacantha,-43.691111,-20.0575
Vellozia tragacantha,-43.918889,-20.441111
Vellozia tragacantha,-43.415556,-20.159167
Vellozia tragacantha,-43.419167,-20.313889
Vellozia tragacantha,-43.436667,-20.153611
Vellozia tragacantha,-43.436667,-20.153611
Vellozia tragacantha,-43.492777,-20.101666
Vellozia tragacantha,-43.6675,-20.110833
Vellozia tragacantha,-43.629167,-20.149444
Vellozia tragacantha,-43.475528,-20.166139
Vellozia tragacantha,-43.909444,-20.435278
Vellozia tragacantha,-43.475833,-20.094444
