species,Longitude,Latitude
Vellozia_tubiflora,-61.8,5.63
Vellozia_tubiflora,-73.952615,3.28013
Vellozia_tubiflora,-67.624,5.66389
Vellozia_tubiflora,-72.628611,2.4375
Vellozia_tubiflora,-66.35,4.7
Vellozia_tubiflora,-66.35,4.7
Vellozia_tubiflora,-73.998487,3.236191
Vellozia_tubiflora,-70.917627,0.108822
Vellozia_tubiflora,-71.333333,1.333333
Vellozia_tubiflora,-70.25,1
Vellozia_tubiflora,-66.06,5.66
Vellozia_tubiflora,-70.5,1.33
Vellozia_tubiflora,-62.85,6.25
Vellozia_tubiflora,-48.966667,-16.333333
Vellozia_tubiflora,-67.62,5.66
Vellozia_tubiflora,-65.71666,6
Vellozia_tubiflora,-61.48,5.7
Vellozia_tubiflora,-47.6137542,-16.7723417
Vellozia_tubiflora,-47.5101417,-14.1361864
Vellozia_tubiflora,-47.5101417,-14.1361864
Vellozia_tubiflora,-48.13,-16
Vellozia_tubiflora,-50.140278,-15.934444
Vellozia_tubiflora,-50.140278,-15.934444
Vellozia_tubiflora,-47.70192,-14.1167
Vellozia_tubiflora,-47.70192,-14.1167
Vellozia_tubiflora,-47.70192,-14.1167
Vellozia_tubiflora,-47.65562,-14.1167
Vellozia_tubiflora,-47.65562,-14.1167
Vellozia_tubiflora,-47.613611,-16.768611
Vellozia_tubiflora,-50.140278,-15.934444
Vellozia_tubiflora,-48.05,-16.03
Vellozia_tubiflora,-43.248576,-19.948004
Vellozia_tubiflora,-70.793407,1.18539
Vellozia_tubiflora,-47.5167,-13.93593
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-67.865944,5.335746
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-80.86055,8.43416
Vellozia_tubiflora,-65.666667,5.933333
Vellozia_tubiflora,-47.5101417,-14.1361864
Vellozia_tubiflora,-47.5101417,-14.1361864
Vellozia_tubiflora,-47.6137542,-16.7723417
Vellozia_tubiflora,-70.779444,1.155
Vellozia_tubiflora,-67.5821,5.5848
Vellozia_tubiflora,-67.405556,5.841389
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-54.9337069,-10.0610746
Vellozia_tubiflora,-47.334722,-15.537778
Vellozia_tubiflora,-58.404167,-8.462778
Vellozia_tubiflora,-41.091944,-3.562222
Vellozia_tubiflora,-58.266667,-8.3
Vellozia_tubiflora,-47.613611,-16.768611
Vellozia_tubiflora,-67.45,6.3
Vellozia_tubiflora,-66.16666,5.58333
Vellozia_tubiflora,-63.43333,5.66666
Vellozia_tubiflora,-47.5125,-14.031111
Vellozia_tubiflora,-50.166667,-16.066667
Vellozia_tubiflora,-47.5,-14.116667
Vellozia_tubiflora,-68.5004,5.2836
Vellozia_tubiflora,-47.648611,-16.758333
Vellozia_tubiflora,-48.616667,-8.416667
Vellozia_tubiflora,-50.183333,-16.066667
Vellozia_tubiflora,-47.433333,-14.083333
Vellozia_tubiflora,-67.6,5.616667
Vellozia_tubiflora,-47.516667,-14.116667
Vellozia_tubiflora,-66.16666,5.58333
Vellozia_tubiflora,-48.959167,-15.8525
Vellozia_tubiflora,-65.75,3.66666
Vellozia_tubiflora,-65.75,3.66666
Vellozia_tubiflora,-47.521517,-14.133556
Vellozia_tubiflora,-67.6,5.68333
Vellozia_tubiflora,-62.88333,6.51666
Vellozia_tubiflora,-63.35,0.85
Vellozia_tubiflora,-65.383333,2.516667
Vellozia_tubiflora,-67.633333,5.65
Vellozia_tubiflora,-41.772778,-13.151944
Vellozia_tubiflora,-65.73333,3.73333
