species,Longitude,Latitude
Vellozia variabilis,-50.1409179,-15.9381184
Vellozia variabilis,-50.140278,-15.934444
Vellozia variabilis,-47.5101417,-14.1361864
Vellozia variabilis,-47.6,-16.79518
Vellozia variabilis,-47.613611,-16.768611
Vellozia variabilis,-47.6,-16.85843
Vellozia variabilis,-47.613611,-16.768611
Vellozia variabilis,-50.140278,-15.934444
Vellozia variabilis,-43.8,-20.22
Vellozia variabilis,-50.140278,-15.934444
Vellozia variabilis,-47.6874,-15.73555
Vellozia variabilis,-43.7407994,-18.4581811
Vellozia variabilis,-43.6557937,-18.449581
Vellozia variabilis,-43.68024,-18.32666
Vellozia variabilis,-56.0977014,-15.5997896
Vellozia variabilis,-43.6004898,-18.2531773
Vellozia variabilis,-55.849722,-15.373333
Vellozia variabilis,-47.6137542,-16.7723417
Vellozia variabilis,-48.282778,-15.939167
Vellozia variabilis,-48.283611,-15.939167
Vellozia variabilis,-47.8925,-15.923889
Vellozia variabilis,-47.900556,-15.927778
Vellozia variabilis,-43.6004898,-18.2531773
Vellozia variabilis,-47.9,-15.58
Vellozia variabilis,-43.49,-18.5
Vellozia variabilis,-47.916667,-15.95
Vellozia variabilis,-59.5,-18.38333
Vellozia variabilis,-55.93,-15.27
Vellozia variabilis,-55.75,-15.5
Vellozia variabilis,-55.933333,-15.266667
Vellozia variabilis,-43.6557937,-18.449581
Vellozia variabilis,-48.9,-18.6
Vellozia variabilis,-41,-11.633333
Vellozia variabilis,-47.616667,-16.766667
Vellozia variabilis,-50.033333,-15.133333
Vellozia variabilis,-47.983611,-15.949167
Vellozia variabilis,-47.954167,-15.974167
Vellozia variabilis,-47.983611,-15.949167
Vellozia variabilis,-41.883333,-13.3
Vellozia variabilis,-43.34,-19.18
Vellozia variabilis,-47.26,-19.51
Vellozia variabilis,-47.896111,-15.915
Vellozia variabilis,-43.7407994,-18.4581811
Vellozia variabilis,-47.896389,-15.922222
Vellozia variabilis,-44.13,-20.08
Vellozia variabilis,-43.42,-18.41
Vellozia variabilis,-59.5,-18.33333
Vellozia variabilis,-47.613611,-16.768611
Vellozia variabilis,-41.91666,-13.25
Vellozia variabilis,-41.54,-13.15
Vellozia variabilis,-41.9,-13.233333
Vellozia variabilis,-41.9,-13.25
Vellozia variabilis,-41.85,-13.33
Vellozia variabilis,-41.783333,-13.25
Vellozia variabilis,-41.88,-13.27
Vellozia variabilis,-41.54,-13.16
Vellozia variabilis,-42.366667,-13.833333
Vellozia variabilis,-62.05,-14.416667
Vellozia variabilis,-48.51667,-17.8
Vellozia variabilis,-60.38611,-14.82333
Vellozia variabilis,-46.193056,-20.393889
Vellozia variabilis,-47.5,-13.766667
Vellozia variabilis,-47.5,-13.766667
Vellozia variabilis,-47.599444,-14.165278
Vellozia variabilis,-47.520278,-14.0025
Vellozia variabilis,-48.616666,-17.733333
Vellozia variabilis,-47.666667,-15.75
Vellozia variabilis,-43.666667,-18.25
Vellozia variabilis,-43.858472,-18.564444
Vellozia variabilis,-47.808889,-14.156389
Vellozia variabilis,-47.666667,-16.75
Vellozia variabilis,-47.666667,-16.75
Vellozia variabilis,-47.666667,-16.75
Vellozia variabilis,-44.172222,-17.7575
Vellozia variabilis,-47.800833,-14.174722
Vellozia variabilis,-47.636111,-14.171389
Vellozia variabilis,-48.423889,-14.709444
Vellozia variabilis,-48.423889,-14.709444
Vellozia variabilis,-48.439722,-14.646667
Vellozia variabilis,-47.801944,-13.816667
Vellozia variabilis,-43.4414,-18.5212
Vellozia variabilis,-48.11667,-14.16667
Vellozia variabilis,-45.6,-20.983333
Vellozia variabilis,-47.784444,-14.986111
Vellozia variabilis,-43.3657,-18.0926
Vellozia variabilis,-47.24007,-19.58408
Vellozia variabilis,-48.10278,-13.61861
Vellozia variabilis,-47.953333,-15.971667
