species,Longitude,Latitude
Vellozia variegata,-39.533333,-12.75
Vellozia variegata,-41.008056,-20.436389
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-40.319167,-20.17
Vellozia variegata,-42.466667,-20.733333
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-39.471944,-12.853056
Vellozia variegata,-39.46667,-12.85
Vellozia variegata,-42.483333,-20.716667
Vellozia variegata,-39.28,-12.51
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-39.475833,-12.853611
Vellozia variegata,-40.824722,-19.888889
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-42.2831,-20.421
Vellozia variegata,-40.472222,-19.914167
Vellozia variegata,-40.814722,-19.897778
Vellozia variegata,-40.739444,-19.760833
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.770278,-19.803056
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-42.0175,-21.9675
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-42.0175,-21.9675
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-41.100556,-20.519167
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-40.604167,-19.780556
Vellozia variegata,-40.604167,-19.780556
Vellozia variegata,-40.7775,-19.8025
Vellozia variegata,-40.551111,-19.348333
Vellozia variegata,-40.771944,-19.801111
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.8625,-20.007222
Vellozia variegata,-42.301389,-21.564444
Vellozia variegata,-40.980014,-20.411644
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.665556,-18.977778
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.798611,-18.944167
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.775278,-19.796944
Vellozia variegata,-40.473889,-19.979444
Vellozia variegata,-40.981111,-19.741389
Vellozia variegata,-41.545833,-20.940556
Vellozia variegata,-41.083611,-20.516111
Vellozia variegata,-40.4625,-18.766944
Vellozia variegata,-40.667778,-18.978889
Vellozia variegata,-40.98525,-18.569278
Vellozia variegata,-40.988056,-18.570556
Vellozia variegata,-41.121111,-18.421667
Vellozia variegata,-40.443889,-18.776944
Vellozia variegata,-41.098611,-20.5375
Vellozia variegata,-41.083611,-20.516111
Vellozia variegata,-39.796111,-16.61
Vellozia variegata,-41.286139,-20.175833
Vellozia variegata,-40.4575,-18.77
Vellozia variegata,-40.4575,-18.77
Vellozia variegata,-39.475556,-12.853611
Vellozia variegata,-41.373889,-20.791667
Vellozia variegata,-41.91,-21.903056
Vellozia variegata,-40.815,-19.895278
Vellozia variegata,-40.812778,-19.895833
Vellozia variegata,-40.791111,-18.766944
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-40.614444,-20.173056
Vellozia variegata,-39.475,-12.854722
Vellozia variegata,-40.995833,-18.571944
Vellozia variegata,-41.8675,-21.848056
Vellozia variegata,-39.475556,-12.854444
Vellozia variegata,-41.911944,-21.898889
Vellozia variegata,-41.913333,-21.869444
Vellozia variegata,-40.456667,-18.769167
Vellozia variegata,-40.768611,-20.290833
Vellozia variegata,-40.271944,-18.455833
Vellozia variegata,-41.992222,-21.943333
Vellozia variegata,-43.244722,-22.430556
Vellozia variegata,-42.475806,-20.702833
Vellozia variegata,-42.472194,-20.747778
Vellozia variegata,-43.270833,-22.416667
Vellozia variegata,-42.868611,-22.161389
Vellozia variegata,-42.553056,-22.262222
Vellozia variegata,-42.494722,-22.375278
Vellozia variegata,-40.535278,-20.609167
Vellozia variegata,-40.813306,-19.896972
Vellozia variegata,-42.018056,-21.9675
Vellozia variegata,-41.5625,-20.394444
Vellozia variegata,-41.673333,-19.396389
Vellozia variegata,-40.733333,-19.75
Vellozia variegata,-41.098055,-20.52
Vellozia variegata,-39.676111,-16.896944
Vellozia variegata,-39.676111,-16.896944
