"","Species","TBL","pext","ED","EDGE"
"1","Vellozia_abietina",4.4913507,0.056,4.90354678461985,0.277328786710374
"2","Vellozia_alata",5.313766318,0.4925,5.55390657565823,2.73640881584608
"3","Vellozia_albiflora_1",1.36024313,0.056,1.72662035337772,0.0969701038414261
"4","Vellozia_aloifolia",2.225296688,0.0555,5.72360847757562,0.31781916822109
"5","Vellozia_andina",19.06315878,0.494,22.2021908942001,10.9923626340152
"6","Vellozia_angustifolia",3.414206711,0.056,5.86632237261396,0.330055866015748
"7","Vellozia_armata",11.77441142,0.488,12.6039953762561,6.1824109940466
"8","Vellozia_auriculata",1.80919046,0.233,1.82510587367377,0.425486070701581
"9","Vellozia_barbata",8.695268295,0.4865,8.695268295,4.2302480255175
"10","Vellozia_brevifolia",5.869087859,0.4875,5.91677138580877,2.88358846306107
"11","Vellozia_breviscapa",1.093502266,0.24,1.1317199356387,0.271871106048032
"12","Vellozia_caespitosa",2.225296688,0.4925,2.61651149761332,1.27713544516925
"13","Vellozia_candida",2.289348391,0.054,4.09732107670631,0.224757327116848
"14","Vellozia_canelinha",16.43348901,0.483,16.4348868708513,7.93742759823391
"15","Vellozia_caruncularis_1",1.721589181,0.056,1.73126253424159,0.0971741501069844
"16","Vellozia_caudata_1",3.609972266,0.2375,4.20002240662167,0.988768676474363
"17","Vellozia_ciliata",10.40271688,0.484,10.40271688,5.03491496992
"18","Vellozia_compacta",3.397287872,0.055,3.74820627990385,0.20705357764594
"19","Vellozia_crinita",1.757635688,0.966,3.33469162659324,3.02892880723923
"20","Vellozia_cryptantha",2.682856781,0.4885,2.6844029792349,1.31140251156076
"21","Vellozia_dasypus",6.214528147,0.486,6.2908886243873,3.04699686790427
"22","Vellozia_declinans",0.6840174024,0.055,1.31539708111253,0.0721899559626059
"23","Vellozia_epidendroides",1.848075413,0.058,1.88896408762404,0.108979836604559
"24","Vellozia_exilis",3.414206711,0.493,3.69442248956542,1.80472553582306
"25","Vellozia_formosa",3.738165981,0.971,3.74176081468237,3.63345215159657
"26","Vellozia_froesii",2.570716364,0.055,5.03266363988215,0.274417048759249
"27","Vellozia_furcata",22.52084548,0.055,22.52084548,1.2386465014
"28","Vellozia_geotegens",2.024199479,0.49,2.04627358374148,1.00204710618812
"29","Vellozia_gigantea",4.960182185,0.494,4.9601822819067,2.4503300358709
"30","Vellozia_giuliettiae",2.71781612,0.9745,4.27830201712298,3.9737667281363
"31","Vellozia_glabra",2.50217774,0.057,2.50530941474829,0.142719683575034
"32","Vellozia_glauca",4.141988705,0.058,4.16325022253978,0.241745797360298
"33","Vellozia_goiasensis",6.721988368,0.4895,6.81402317478469,3.32173401549153
"34","Vellozia_graminea",3.397287872,0.056,3.74177324432559,0.210422909103133
"35","Vellozia_graomogolensis",9.219489284,0.4825,9.219489284,4.44840357953
"36","Vellozia_hatschbachii",1.459133127,0.491,1.58378247587424,0.771420992570625
"37","Vellozia_hemisphaerica_1",3.609972266,0.057,6.0789862238065,0.350606010684136
"38","Vellozia_hirsuta",3.52861742,0.056,3.84891227101627,0.213228563733785
