species,present_habitat_(km2)
Vellozia_abietina,11372.46508
Vellozia_albiflora_1,547201.2165
Vellozia_aloifolia,20340.17984
Vellozia_andina,49271.90629
Vellozia_angustifolia,64226.31811
Vellozia_auriculata,3857.586969
Vellozia_breviscapa,350.6897245
Vellozia_caespitosa,2079.089081
Vellozia_candida,598151.4236
Vellozia_canelinha,23896.9998
Vellozia_caruncularis_1,9418.524029
Vellozia_caudata_1,7063.893022
Vellozia_compacta,38676.06676
Vellozia_cryptantha,2028.990549
Vellozia_dasypus,1533265.574
Vellozia_declinans,48620.62537
Vellozia_epidendroides,7164.152014
Vellozia_exilis,926.8228432
Vellozia_froesii,29683.38025
Vellozia_furcata,6011.823848
Vellozia_geotegens,951.8721093
Vellozia_gigantea,7113.991554
Vellozia_glabra,5761.331188
Vellozia_glauca,936892.6482
Vellozia_graminea,24698.57631
Vellozia_hatschbachii,1628.202292
Vellozia_hemisphaerica_1,8942.587974
Vellozia_hirsuta,365669.1856
Vellozia_intermedia,185840.5047
Vellozia_jolyi,6312.41504
Vellozia_luteola,5585.986326
Vellozia_marcescens,34016.90327
Vellozia_maxillarioides,1778.497888
Vellozia_metzgerae,6663.104765
Vellozia_minima,7665.075406
Vellozia_nivea,48520.42831
Vellozia_ornata,13927.39192
Vellozia_patens,37724.19464
Vellozia_plicata,3160566.093
Vellozia_pulchra,7815.371003
Vellozia_punctulata,29457.93686
Vellozia_resinosa,65729.27407
Vellozia_sellowii,32488.89805
Vellozia_sessilis,1953.842751
Vellozia_seubertiana,1627450.814
Vellozia_stenocarpa,5210.247335
Vellozia_stipitata,35194.21878
Vellozia_strangii,2930.764126
Vellozia_subscabra,216074.9688
Vellozia_taxifolia,46291.04363
Vellozia_tragacantha,21367.02393
Vellozia_variabilis,117055.2202
Vellozia_variegata,164999.5154
