species,range expansion (km2),no range change (km2),range contraction (km2),present suitable range (km2),2041-2060 suitable range (km2),percentage habitat lost,AUC,bias file buffer distance (km),bio_1 percent contribution,bio_12 percent contribution,bio_15 percent contribution,bio_18 percent contribution,bio_2 percent contribution,bio_3 percent contribution
Vellozia abietina,5260.391339,500.9896513,10871.47543,11372.46508,5761.38099,49.34%,0.789,20,42.5493,2.6996,1.3058,40.6665,5.2033,7.5756
Vellozia alata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia albiflora,16607.66338,221560.7581,325640.4584,547201.2165,238168.4215,56.48%,0.986,50,50.9518,9.7772,10.9133,8.8358,5.7623,13.7595
Vellozia aloifolia,0,0,20340.17984,20340.17984,0,100.00%,0.768,20,94.4739,0,3.9472,0,0,1.5789
Vellozia andina,31236.43474,5009.853207,44262.05308,49271.90629,36246.28795,26.44%,0.755,20,79.6201,0,0,20.3799,0,0
Vellozia angustifolia,2855.616328,150.2955962,64076.02251,64226.31811,3005.911924,95.32%,0.838,50,7.8975,18.0787,4.4969,4.805,62.3669,2.3551
Vellozia armata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia asperula,2479.877337,450.8867886,39101.90428,39552.79107,2930.764126,92.59%,0.648,50,0,100,0,0,0,0
Vellozia auriculata,0,0,3857.586969,3857.586969,0,100.00%,0.744,20,97.6363,0,2.3637,0,0,0
Vellozia bahiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia barbaceniifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia barbata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia blanchetiana,11948.4999,2955.813392,46666.78262,49622.59601,14904.31329,69.96%,0.813,50,53.555,0,3.3511,4.8362,38.0963,0.1613
Vellozia brachypoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia brevifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia breviscapa,0,0,350.6897245,350.6897245,0,100.00%,0.858,20,34.8485,9.0442,0,1.4935,54.6138,0
Vellozia bulbosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia caespitosa,0,0,2079.089081,2079.089081,0,100.00%,0.937,20,74.5518,0,0,0,0,25.4482
Vellozia candida,61020.01206,168957.2994,429194.1242,598151.4236,229977.3115,61.55%,0.74,50,0.4374,35.2162,41.3671,12.156,3.9086,6.9147
Vellozia canelinha,1678.300824,200.3941283,23696.60567,23896.9998,1878.694952,92.14%,0.71,20,59.2103,0,0,0,31.0731,9.7166
Vellozia capiticola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia caput-ardeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia caruncularis,375.7389905,1477.906696,7940.617333,9418.524029,1853.645687,80.32%,0.762,20,66.6106,3.9445,14.5405,14.2357,0.5647,0.1039
Vellozia caudata,50.09853207,425.8375226,6638.055499,7063.893022,475.9360547,93.26%,0.786,20,38.5521,0,0,55.5364,5.9114,0
Vellozia ciliata,3707.291373,3982.833299,11597.81017,15580.64347,7690.124672,50.64%,0.637,50,0,0,0,0,100,0
Vellozia cinerascens,10119.90348,78228.85782,245207.2652,323436.123,88348.7613,72.68%,0.7,20,2.4817,0.0123,97.5059,0,0,0
Vellozia compacta,8942.587974,851.6750451,37824.39171,38676.06676,9794.263019,74.68%,0.736,20,32.8972,2.1502,0.2585,53.4858,9.9522,1.256
Vellozia costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia crinita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia cryptantha,0,0,2028.990549,2028.990549,0,100.00%,0.804,20,34.478,0.318,0,1.1676,64.0363,0
Vellozia dasypus,126649.0891,366545.9099,1166719.664,1533265.574,493194.999,67.83%,0.724,20,1.4988,42.1897,9.0041,3.8263,9.416,34.065
Vellozia decidua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia declinans,11472.56384,5510.838527,43109.78684,48620.62537,16983.40237,65.07%,0.768,50,59.9432,0,3.1163,21.7689,14.2076,0.964
Vellozia echinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia epidendroides,0,0,7164.152014,7164.152014,0,100.00%,0.741,20,96.3129,0,0.284,3.4031,0,0
Vellozia everaldoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia exilis,0,0,926.8228432,926.8228432,0,100.00%,0.841,20,88.5212,0,1.0825,0.586,1.5754,8.2349
Vellozia flavida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia fontellana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia froesii,1953.842751,3782.439171,25900.94108,29683.38025,5736.281922,80.68%,0.826,50,8.7397,73.7302,1.7548,9.5699,0.3633,5.8421
Vellozia fruticosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia furcata,3932.734767,1077.118439,4934.705409,6011.823848,5009.853206,16.67%,0.812,20,5.3755,8.7631,50.8043,31.2217,2.4441,1.3914
Vellozia geotegens,125.2463302,0,951.8721093,951.8721093,125.2463302,86.84%,0.849,20,0,0,56.4798,1.2404,2.7966,39.4833
Vellozia gigantea,75.1477981,0,7113.991554,7113.991554,75.1477981,98.94%,0.882,20,68.5575,0,1.7562,0,29.6863,0
Vellozia giuliettiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia glabra,1252.463302,2104.138347,3657.192841,5761.331188,3356.601649,41.74%,0.777,50,42.5275,0,9.744,5.5468,41.3489,0.8328
Vellozia glandulifera,9794.263019,2179.286145,40554.76171,42734.04786,11973.54916,71.98%,0.738,50,0,0,0,100,0,0
Vellozia glauca,63249.39674,86595.31268,850297.3355,936892.6482,149844.7094,84.01%,0.75,50,18.6373,10.6202,0.493,0.4311,44.7699,25.0485
Vellozia glochidea,25951.03961,50624.56665,936717.3033,987341.87,76575.60626,92.24%,0.592,50,40.8157,0,0.6676,0.0003,8.692,49.8244
Vellozia goiasensis,50.09853207,0,72642.8715,72642.8715,50.09853207,99.93%,0.625,20/50,46.9839,0,53.0161,0,0,0
Vellozia graminea,1728.399356,125.2463302,24573.32998,24698.57631,1853.645686,92.49%,0.768,20,33.3323,10.666,1.8936,20.0551,33.9249,0.1281
Vellozia graomogolensis,175.3448622,0,29107.24713,29107.24713,175.3448622,99.40%,0.668,50,100,0,0,0,0,0
Vellozia hatschbachii,0,25.04926603,1603.153026,1628.202292,25.04926603,98.46%,0.906,20,0,0,0,0,83.2007,16.7993
Vellozia hemisphaerica,225.4433943,200.3941283,8742.193846,8942.587974,425.8375226,95.24%,0.715,20,15.7499,17.5196,17.612,18.1515,28.7889,2.1781
Vellozia hirsuta,7439.632012,38876.46088,326792.7247,365669.1856,46316.09289,87.33%,0.754,50,69.4667,1.8497,22.444,0.4049,2.2012,3.6335
Vellozia hypoxoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia inselbergae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia intermedia,16106.67806,35369.56364,150470.9411,185840.5047,51476.2417,72.30%,0.708,20,67.4613,16.7442,0.6706,0,7.9359,7.188
Vellozia jolyi,25.04926603,200.3941283,6112.020912,6312.41504,225.4433943,96.43%,0.738,20,0,82.68,0.0064,1.6598,1.9639,13.6899
Vellozia lilacina,375.7389905,0,13651.84999,13651.84999,375.7389905,97.25%,0.803,20,0,0,100,0,0,0
Vellozia linearis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia luteola,25.04926603,0,5585.986326,5585.986326,25.04926603,99.55%,0.884,50,0,22.4218,34.378,0,0,43.2002
Vellozia marcescens,200.3941283,0,34016.90327,34016.90327,200.3941283,99.41%,0.795,20,64.5995,0,24.6677,6.2555,0,4.4774
Vellozia maxillarioides,0,0,1778.497888,1778.497888,0,100.00%,0.7,20,49.8901,25.7106,0.7382,0,23.661,0
Vellozia mellosilvae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia metzgerae,0,0,6663.104765,6663.104765,0,100.00%,0.814,20,53.6254,0,0,46.3746,0,0
Vellozia minima,0,0,7665.075406,7665.075406,0,100.00%,0.706,20,88.2168,0.0512,0.4117,0,11.3204,0
Vellozia nanuzae,23320.86668,115452.0671,376941.3553,492393.4224,138772.9338,71.82%,0.622,50,0,0,0,0,100,0
Vellozia nivea,250.4926603,150.2955962,48370.13271,48520.42831,400.7882565,99.17%,0.707,20,100,0,0,0,0,0
Vellozia nuda,751.477981,1252.463302,33215.32676,34467.79006,2003.941283,94.19%,0.723,50,77.1234,0.5085,3.3769,18.4832,0.5079,0
Vellozia obtecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia ornata,526.0345867,701.3794489,13226.01247,13927.39192,1227.414036,91.19%,0.736,50,0,0,48.5626,0,51.4374,0
Vellozia ornithophila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia patens,2880.665594,225.4433943,37498.75125,37724.19464,3106.108988,91.77%,0.792,20,15.4853,0,84.5147,0,0,0
Vellozia peripherica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vellozia piresiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
